_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_META_TITLE_,_META_H1_,_META_KEYWORDS_,_SEO_KEYWORD_,_META_DESCRIPTION_,_DESCRIPTION_,_PRICE_,_IMAGE_
8397,Системы охранно-пожарной сигнализации|Извещатели охранные для помещений|Извещатели оптико-электронные пассивные,Optex,Optex OML-ST,Optex OML-ST,Optex OML-ST,"Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex OML-ST,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex OML-ST,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: Optex OML-AM,АНАЛОГ ВЗАМЕН: Optex OML-AM,5097,catalog/img/8397.jpg
8398,Системы охранно-пожарной сигнализации|Извещатели охранные для помещений|Извещатели оптико-электронные пассивные,Optex,Optex OML-AM,Optex OML-AM,Optex OML-AM,"Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex OML-AM,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex OML-AM,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Optex OML-AM - извещатель охранный объемный (15х15 м - широкий угол), оптико-электронный пассивный, микропроцессорный, активная система Антимаскирования, не реагирует на мелких животных, твердая сферическая мультифокусная линза, двойное экранированние пир","Optex OML-AM - извещатель охранный объемный (15х15 м - широкий угол), оптико-электронный пассивный, микропроцессорный, активная система Антимаскирования, не реагирует на мелких животных, твердая сферическая мультифокусная линза, двойное экранированние пироэлемента, усовершенствованная система температурной компенсации, система EOL (удобный выбор оконечных сопротивлений), -10°С +50°С.",7031,catalog/img/8398.jpg
8400,Системы охранно-пожарной сигнализации|Извещатели охранные для помещений|Извещатели оптико-электронные пассивные,Optex,Optex CX-502,Optex CX-502,Optex CX-502,"Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex CX-502,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex CX-502,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Optex CX-502 - извещатель охранный объемный (15х15 м - широкий угол или ""штора"" 24х1,8м с линзой CL-80N) оптико-электронный пассивный, микропроцессорный, не реагирует на средних животных, твердая сферическая мультифокусная линза с контролем зоны под извещ","Optex CX-502 - извещатель охранный объемный (15х15 м - широкий угол или ""штора"" 24х1,8м с линзой CL-80N) оптико-электронный пассивный, микропроцессорный, не реагирует на средних животных, твердая сферическая мультифокусная линза с контролем зоны под извещателем,  повышенная чувствительность, с двойным экранированием пироэлемента, защита от прямого света 50000 люкс, и радиопомех более 30 В/м, пониженное потребление, -20°С +50°С. Подходит для создания систем безопасности на любых объектах. ",0,catalog/img/8400.jpg
8401,Системы охранно-пожарной сигнализации|Извещатели охранные для помещений|Извещатели оптико-электронные пассивные,Optex,Optex CX-502AM,Optex CX-502AM,Optex CX-502AM,"Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex CX-502AM,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex CX-502AM,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Optex CX-502AM - извещатель охранный объемный (15х15 м - широкий угол или ""штора"" 24х1,8м с линзой CL-80N) оптико-электронный пассивный, микропроцессорный, функции антимаскирования и самотестирования,  не реагирует на средних животных, твердая сферическая","Optex CX-502AM - извещатель охранный объемный (15х15 м - широкий угол или ""штора"" 24х1,8м с линзой CL-80N) оптико-электронный пассивный, микропроцессорный, функции антимаскирования и самотестирования,  не реагирует на средних животных, твердая сферическая мультифокусная линза с контролем зоны под извещателем,  повышенная чувствительность, с двойным экранированием пироэлемента, защита от прямого света 50000 люкс, и радиопомех более 30 В/м, пониженное потребление, -20°С +50°С. Подходит для создания систем безопасности на любых объектах. ",0,catalog/img/8401.jpg
8402,Системы охранно-пожарной сигнализации|Извещатели охранные для помещений|Извещатели оптико-электронные пассивные,Optex,Optex CX-502AM Plus,Optex CX-502AM Plus,Optex CX-502AM Plus,"Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex CX-502AM Plus,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex CX-502AM Plus,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Optex CX-502AM Plus - извещатель охранный объемный (15х15 м - широкий угол или ""штора"" 24х1,8м с линзой CL-80N) оптико-электронный пассивный, микропроцессорный, не реагирует на средних животных, твердая сферическая мультифокусная линза с контролем зоны по","Optex CX-502AM Plus - извещатель охранный объемный (15х15 м - широкий угол или ""штора"" 24х1,8м с линзой CL-80N) оптико-электронный пассивный, микропроцессорный, не реагирует на средних животных, твердая сферическая мультифокусная линза с контролем зоны под извещателем, повышенная чувствительность, с двойным экранированием пироэлемента, защита от прямого света 50000 люкс, и радиопомех более 30 В/м, пониженное потребление, -20 град. С +50 град. С, с антимаскированием и самотестированием, с улучшенной защитой от засветок. Подходит для создания систем безопасности на любых объектах. ",0,catalog/img/8402.jpg
8403,Системы охранно-пожарной сигнализации|Извещатели охранные для помещений|Извещатели оптико-электронные пассивные,Optex,Optex CX-702,Optex CX-702,Optex CX-702,"Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex CX-702,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex CX-702,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Optex CX-702 - извещатель охранный объемный оптико-электронный пассивный, микропроцессорный, твердая сферическая мультифокусная линза двойного действия (21х21 м - широкий угол или ""штора"" 45х2,4м - узкий угол) с контролем зоны под извещателем, повышенная ","Optex CX-702 - извещатель охранный объемный оптико-электронный пассивный, микропроцессорный, твердая сферическая мультифокусная линза двойного действия (21х21 м - широкий угол или ""штора"" 45х2,4м - узкий угол) с контролем зоны под извещателем, повышенная чувствительность, с двойным экранированием пироэлемента, защита от прямого света более 50000 люкс, и радиопомех более 30 В/м,  температурный диапазон -20°С +50°С.  Идеально подходит для создания систем безопасности на крупных коммерческих и индустриальных объектах.",7061,catalog/img/8403.jpg
8404,Системы охранно-пожарной сигнализации|Извещатели охранные для помещений|Извещатели оптико-электронные пассивные,Optex,Optex CX-702RS,Optex CX-702RS,Optex CX-702RS,"Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex CX-702RS,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы охранно-пожарной сигнализации,Извещатели охранные для помещений,Optex CX-702RS,Optex,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Optex CX-702RS  - извещатель охранный объемный оптико-электронный пассивный, микропроцессорный, твердая сферическая мультифокусная линза двойного действия (21х21 м - широкий угол или ""штора"" 45х2,4м - узкий угол) с контролем зоны под извещателем, повышенн","Optex CX-702RS  - извещатель охранный объемный оптико-электронный пассивный, микропроцессорный, твердая сферическая мультифокусная линза двойного действия (21х21 м - широкий угол или ""штора"" 45х2,4м - узкий угол) с контролем зоны под извещателем, повышенная чувствительность, с двойным экранированием пироэлемента, защита от прямого света более 50000 люкс, и радиопомех более 30 В/м,  температурный диапазон -20°С +50°С,  с местом для аккумулятора (используется в сочетании с дополнительным радиопередатчиком).  Идеально подходит для создания систем безопасности на крупных коммерческих и индустриальных объектах.",8739,catalog/img/8404.jpg
8405,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,BestDVR,BestDVR BestDVR-404L,BestDVR BestDVR-404L,BestDVR BestDVR-404L,"Системы видеонаблюдения,Видеонаблюдение,BestDVR BestDVR-404L,BestDVR,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,BestDVR BestDVR-404L,BestDVR,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","BestDVR BestDVR-404L - этот цифровой видерегистратор сочетает в себе возможности среднего класса с ценой класса экономичного. Единственое ограничение, накладываемое при этом BestDVR BestDVR-404L - всего 4 аудио/видео канала. Однако, запись может производи","BestDVR BestDVR-404L - этот цифровой видерегистратор сочетает в себе возможности среднего класса с ценой класса экономичного. Единственое ограничение, накладываемое при этом BestDVR BestDVR-404L - всего 4 аудио/видео канала. Однако, запись может производиться в высшем из стандартных разрешений - D1 - и со скросостью до 25 к/с на каждый канал. При этом используется кодек H.264, экономящий место на жестком диске (максимальный объем - 2 ТБ, в комплект не входит). Также регистртора оснащен тревожными видеовыходами - в количестве четырех штук, детектором движения и может работать в квадроплексном режиме. Видеорегистратор BestDVR BestDVR-404L открывает новое поколение видеорегистраторов, сочетающих в себе наивысшие базовые характеристики - полноформатную запись в качестве D1 в реальном времени со стоимостью характерной скорее для приборов Econom  класса.",0,catalog/img/8405.jpg
8406,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,BestDVR,BestDVR BestDVR-404LightNET-S,BestDVR BestDVR-404LightNET-S,BestDVR BestDVR-404LightNET-S,"Системы видеонаблюдения,Видеонаблюдение,BestDVR BestDVR-404LightNET-S,BestDVR,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,BestDVR BestDVR-404LightNET-S,BestDVR,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: BestDVR BestDVR-405Light-NET,АНАЛОГ ВЗАМЕН: BestDVR BestDVR-405Light-NET,0,catalog/img/8406.jpg
8407,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,BestDVR,BestDVR BestDVR-804LightNET-S,BestDVR BestDVR-804LightNET-S,BestDVR BestDVR-804LightNET-S,"Системы видеонаблюдения,Видеонаблюдение,BestDVR BestDVR-804LightNET-S,BestDVR,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,BestDVR BestDVR-804LightNET-S,BestDVR,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: BestDVR BestDVR-805LightNet-S,АНАЛОГ ВЗАМЕН: BestDVR BestDVR-805LightNet-S,0,catalog/img/8407.jpg
