id,category,subcat,type,developer,model,description,params,characts,price,img,video
8878,Системы видеонаблюдения,IP-видеонаблюдение,Сетевые IP камеры,Sony,Sony SNC-DH220,"Sony SNC-DH220 – 3-мегапиксельная купольная камера высокой четкости (1080p, с поддержкой H.264 при 30 кадр/с) (максимальное разрешение 1920x 1440), предназначенная для внутренней установки, с оптической функцией День/Ночь, функцией анализа DEPA и соответствующая стандарту ONVIF. Она поддерживает двойной поток и кодирование с использованием трех кодеков. CMOS-датчик изображения Sony Exmor обеспечивает прекрасное качество изображения и обнаружение тревожных событий для эффективного сбора доказательной базы нарушений.","['Размер матрицы', '1/2.8', ';', 'Макс. разрешение, Мпикс', '2.7', ';', 'Скорость при макс.разр. кадр/сек', '20', ';', 'ИК-подсветка', '-', ';', 'Минимальная светочувствительность, лк', '0.45', ';', 'Объектив', '3-9 мм', ';', 'POE', 'POE', ';', 'Питание', '-', ';', 'Рабочая температура', 'От -10 до +50', ';', 'Класс защиты', '-', ';', 'Антивандальность', '-', ';', 'Звук', '-', ';']","Матрица  1/2,8"" CMOS EXMOR с прогрессивной развёрткой
Автоматическая регулировка усиления  до 42 дБ (Low / Middle / High)
Минимальная освещенность:
Цветной режим: 0,7 Люкс   (F1.2, AGC 42дБ/50 IRE)
Ч/Б режим:   0,45 Люкс (F1.3, AGC 42дБ, 50 IRE)
Баланс белого  ATW, ATW-PRO, One push WB, Ручной, Пресеты
Электронный затвор   1/10 000 … 1 сек
Тип объектива  Встроенный, варифокальный (2,9x)
Фокусное расстояние  3,1 … 8,9 мм
Апертура  F1.2 - F2.1
Горизонтальный угол обзора  88,5 … 32,3 градусов
Минимальное расстояние до объекта  0,3 м
Макс. размер изображения:    MPEG-4	1920 х 1440; JPEG	1920 х 1440;  H.264 1920 х 1440
Частота кадров:  MPEG-4 15к/с (1920 х 1440) или 20 к/с (1920 х 1080);  JPEG	12к/с (1920 х 1440) или 16 к/с (1920 х 1080); H.264 20к/с (1920 х 1440) или 30 к/с (1920 х 1080)
Интеллектуальное обнаружение движения  да
Интеллектуальное обнаружение объектов  нет
Правила обнаружения движения (VMF)  нет
Протокол  TCP, IPv4, IPv6, DNS, RTP/RTCP, RTSP, UDP, ARP, HTTP, HTTPS, ICMP, IGMPv3, SMTP, FTPs, FTPc, DHCP, NTP and SNMP (MIB-2)
Аутентификация  IEEE802.1X
Максимальное число клиентов  5
Аналоговый видевыход   Композитный, 1.0В (п-п), 75 Ом (BNC)
Сеть Ethernet  10BASE-T/100BASE-TX (RJ-45)
Тревожные Входы/Выходы  1 вход / 1 выход
Слот для карт памяти  нет
Звук   нет
Беспроводное соединение  нет
Видеосистема  PAL/NTSC
Отношение С/Ш  более 50 дБ
Требования к электропитанию  PoE (IEEE802.3af)
Потребление  6 Вт
Рабочая температура  -10… +50С
Температура хранения  -20… +60С
Габариты   d140 х 118 мм
Масса  0,72 кг
Операционная система  Microsoft Windows 7/Vista/XP, DirectX 9.0 или выше
Веб браузер  Internet Explorer 6.0 / Firefox 3.5 / Safari 4.0 / Google Chrome 4.0
Минимальные системные требования  Pentium 4 1.5 ГГц или выше.
Оперативная память  256Мб или более",47483,img/8878.jpg,no video
8879,Системы видеонаблюдения,IP-видеонаблюдение,Сетевые IP камеры,Sony,Sony SNC-DH220T,"Sony SNC-DH220T – 3-мегапиксельная купольная камера высокой четкости (1080p, с поддержкой H.264 при 30 кадр/с) (максимальное разрешение 1920x 1440), в антивандальном исполнении, предназначенная для внутренней установки, с оптической функцией День/Ночь, функцией анализа DEPA и соответствующая стандарту ONVIF. Она поддерживает двойной поток и кодирование с использованием трех кодеков. CMOS-датчик изображения Sony Exmor обеспечивает прекрасное качество изображения и обнаружение тревожных событий для эффективного сбора доказательной базы нарушений.","['Размер матрицы', '1/2.8', ';', 'Макс. разрешение, Мпикс', '2.7', ';', 'Скорость при макс.разр. кадр/сек', '20', ';', 'ИК-подсветка', '-', ';', 'Минимальная светочувствительность, лк', '0.45', ';', 'Объектив', '3-9 мм', ';', 'POE', 'POE', ';', 'Питание', '-', ';', 'Рабочая температура', 'От -10 до +50', ';', 'Класс защиты', '-', ';', 'Антивандальность', 'Есть', ';', 'Звук', '-', ';']","Матрица  1/2,8"" CMOS EXMOR с прогрессивной развёрткой
Автоматическая регулировка усиления  до 42 дБ (Low / Middle / High)
Минимальная освещенность:
Цветной режим: 0,7 Люкс   (F1.2, AGC 42дБ/50 IRE)
Ч/Б режим:   0,45 Люкс (F1.3, AGC 42дБ, 50 IRE)
Баланс белого  ATW, ATW-PRO, One push WB, Ручной, Пресеты
Электронный затвор   1/10 000 … 1 сек
Тип объектива  Встроенный, варифокальный (2,9x)
Фокусное расстояние  3,1 … 8,9 мм
Апертура  F1.2 - F2.1
Горизонтальный угол обзора  88,5 … 32,3 градусов
Минимальное расстояние до объекта  0,3 м
Антивандальная защита  IK10
Макс. размер изображения:    MPEG-4	1920 х 1440; JPEG	1920 х 1440;  H.264 1920 х 1440
Частота кадров:  MPEG-4 15к/с (1920 х 1440) или 20 к/с (1920 х 1080);  JPEG	12к/с (1920 х 1440) или 16 к/с (1920 х 1080); H.264 20к/с (1920 х 1440) или 30 к/с (1920 х 1080)
Интеллектуальное обнаружение движения  да
Интеллектуальное обнаружение объектов  нет
Правила обнаружения движения (VMF)  нет
Протокол  TCP, IPv4, IPv6, DNS, RTP/RTCP, RTSP, UDP, ARP, HTTP, HTTPS, ICMP, IGMPv3, SMTP, FTPs, FTPc, DHCP, NTP and SNMP (MIB-2)
Аутентификация
IEEE802.1X
Максимальное число клиентов  5
Аналоговый видевыход   Композитный, 1.0В (п-п), 75 Ом (BNC)
Сеть Ethernet  10BASE-T/100BASE-TX (RJ-45)
Тревожные Входы/Выходы  1 вход / 1 выход
Слот для карт памяти  нет
Звук   нет
Беспроводное соединение  нет
Видеосистема  PAL/NTSC
Отношение С/Ш  более 50 дБ
Требования к электропитанию  PoE (IEEE802.3af)
Потребление  6 Вт
Рабочая температура  -10… +50С
Температура хранения  -20… +60С
Габариты   d140 х 119 мм
Масса  0,95 кг
Операционная система  Microsoft Windows 7/Vista/XP, DirectX 9.0 или выше
Веб браузер  Internet Explorer 6.0 / Firefox 3.5 / Safari 4.0 / Google Chrome 4.0
Минимальные системные требования  Pentium 4 1.5 ГГц или выше.
Оперативная память  256Мб или более",49371,img/8879.jpg,no video
8881,Системы видеонаблюдения,IP-видеонаблюдение,Сетевые IP камеры,Sony,Sony SNC-DH260,"Sony SNC-DH260 – 3-мегапиксельная купольная камера высокой четкости (1080p, с поддержкой H.264 при 30 кадр/с), предназначенная для наружной установки, в антивандальном исполнении, с оптической функцией День/Ночь, ИК-подсветкой, функцией анализа DEPA и соответствующая стандарту ONVIF. Она поддерживает двойной поток, электронную функцию PTZ (Панорамирование/Наклон/Масштабирование) и кодирование с использованием трех кодеков. CMOS-датчик изображения Sony Exmor обеспечивает прекрасное качество изображения и обнаружение тревожных событий для эффективного сбора доказательной базы нарушений.","['Размер матрицы', '1/2.8', ';', 'Макс. разрешение, Мпикс', '2.7', ';', 'Скорость при макс.разр. кадр/сек', '20', ';', 'ИК-подсветка', 'Есть', ';', 'Минимальная светочувствительность, лк', '0 (ИК)', ';', 'Объектив', '3-9 мм', ';', 'POE', 'POE', ';', 'Питание', '-', ';', 'Рабочая температура', 'От -40 до +50', ';', 'Класс защиты', 'IP66', ';', 'Антивандальность', 'Есть', ';', 'Звук', '-', ';']","Матрица  1/2,8"" CMOS EXMOR с прогрессивной развёрткой
Автоматическая регулировка усиления  до 42 дБ (Low / Middle / High)
Минимальная освещенность:
Цветной режим: 0,7 Люкс   (F1.2, AGC 42дБ/50 IRE)
Ч/Б режим: 0 Люкс   (F1.2, IR-ON/AGC 42дБ/50 IRE)
Баланс белого  ATW, ATW-PRO, One push WB, Ручной, Пресеты
Электронный затвор   1/10 000 … 1 сек
Тип объектива  Встроенный, варифокальный (2,9x)
Фокусное расстояние  3,1 … 8,9 мм
Апертура  F1.2 - F2.1
Горизонтальный угол обзора  88,5 … 32,3 градусов
Минимальное расстояние до объекта  0,3 м
Антивандальная защита  IK10
Защита от пыли и влаги  IP66
ИК-подсветка  Встроенная, 850нм
Эффективная дальность ИК-подсветки  30м, AGC 42дБ, 50IRE
Макс. размер изображения:    MPEG-4	1920 х 1440; JPEG	1920 х 1440;  H.264 1920 х 1440
Частота кадров:  MPEG-4 15к/с (1920 х 1440) или 20 к/с (1920 х 1080);  JPEG	12к/с (1920 х 1440) или 16 к/с (1920 х 1080); H.264 20к/с (1920 х 1440) или 30 к/с (1920 х 1080)
Интеллектуальное обнаружение движения  да
Интеллектуальное обнаружение объектов  нет
Правила обнаружения движения (VMF)  нет
Протокол  TCP, IPv4, IPv6, DNS, RTP/RTCP, RTSP, UDP, ARP, HTTP, HTTPS, ICMP, IGMPv3, SMTP, FTPs, FTPc, DHCP, NTP and SNMP (MIB-2)
Аутентификация
IEEE802.1X
Максимальное число клиентов  5
Аналоговый видевыход   Композитный, 1.0В (п-п), 75 Ом (BNC)
Сеть Ethernet  10BASE-T/100BASE-TX (RJ-45)
Тревожные Входы/Выходы  1 вход / 1 выход
Слот для карт памяти  нет
Звук   нет
Беспроводное соединение  нет
Видеосистема  PAL/NTSC
Отношение С/Ш  более 50 дБ
Требования к электропитанию  PoE (IEEE802.3af)
Потребление  29 Вт
Рабочая температура  - 40… + 50
Температура хранения  - 20… + 60
Габариты  d166 х 119 мм
Масса  1,32 кг
Операционная система  Microsoft Windows 7/Vista/XP, DirectX 9.0 или выше
Веб браузер  Internet Explorer 6.0 / Firefox 3.5 / Safari 4.0 / Google Chrome 4.0
Минимальные системные требования  Intel Core2 Duo 2.33 ГГц.
Оперативная память  Оперативная память 2Гб",49277,img/8881.jpg,no video
8882,Системы видеонаблюдения,IP-видеонаблюдение,Сетевые IP камеры,Sony,Sony SNC-DH280,"Sony SNC-DH280 – 3-мегапиксельная купольная камера высокой четкости (1080p, с поддержкой H.264 при 30 кадр/с), предназначенная для наружной установки, в антивандальном исполнении, с оптической функцией День/Ночь, ИК-подсветкой, функцией анализа DEPA и соответствующая стандарту ONVIF. Она поддерживает двойной поток, электронную функцию PTZ (Панорамирование/Наклон/Масштабирование) и кодирование с использованием трех кодеков. CMOS-датчик изображения Sony Exmor обеспечивает прекрасное качество изображения и обнаружение тревожных событий для эффективного сбора доказательной базы нарушений. Камера оснащена мощным набором функций (View-DR, XDNR, DEPA Advanced) и предназначена для установки в местах со сложными условиями освещения, где необходима высокая детализация изображения","['Размер матрицы', '1/2.8', ';', 'Макс. разрешение, Мпикс', '2.7', ';', 'Скорость при макс.разр. кадр/сек', '20', ';', 'ИК-подсветка', 'Есть', ';', 'Минимальная светочувствительность, лк', '0 (ИК)', ';', 'Объектив', '3-9 мм', ';', 'POE', 'POE', ';', 'Питание', '12VDC/24VAC', ';', 'Рабочая температура', 'От -40 до +50', ';', 'Класс защиты', 'IP66', ';', 'Антивандальность', 'Есть', ';', 'Звук', '-', ';']","Матрица  1/2,8"" CMOS EXMOR с прогрессивной развёрткой
Автоматическая регулировка усиления  до 42 дБ (Low / Middle / High)
Минимальная освещенность: 
-Цветной режим: 0,4 Люкс  (F1.2, AGC High/View-DR-OFF/VE-OFF/XDNR-ON Middle/50 IRE)
-Ч/Б режим: 0 Люкс  (F1.2, AGC High/View-DR-OFF/VE-OFF/XDNR-ON Middle/50 IRE/ IR ON)
Баланс белого   ATW, ATW-PRO, One push WB, Ручной, Пресеты
Электронный затвор  1/10 000 … 1 сек
Тип объектива  Встроенный, варифокальный (2,9x)
Фокусное расстояние  3,1 … 8,9 мм
Апертура  F1.2 - F2.1
Горизонтальный угол обзора  88,5 … 32,3 градусов
Минимальное расстояние до объекта  0,3 м
Антивандальная защита  IK10
Защита от пыли и влаги  IP66
ИК-подсветка  Встроенная, 850нм
Эффективная дальность ИК-подсветки  30м (50IRE, View-DR Off, VE Off, AGC High, XDNR Middle)
Макс. размер изображения:
-MPEG-4	1920 х 1440
-JPEG	1920 х 1440
-H.264	1920 х 1440
Частота кадров:
-MPEG-4 15к/с (1920 х 1440) или 20 к/с (1920 х 1080)
-JPEG	12к/с (1920 х 1440) или 16 к/с (1920 х 1080)
-H.264	20к/с (1920 х 1440) или 30 к/с (1920 х 1080)
Сжатие звукового сигнала  G.711 (64kbps) и G.726 (40, 32, 24, 16 kbps)
Интеллектуальное обнаружение движения  да
Интеллектуальное обнаружение объектов  да
Правила обнаружения движения (VMF)  да
Протокол  TCP, IPv4, IPv6, DNS, RTP/RTCP, RTSP, UDP, ARP, HTTP, HTTPS, ICMP, IGMPv3, SMTP, FTPs, FTPc, DHCP, NTP and SNMP (MIB-2)
Аутентификация  IEEE802.1X
Максимальное число клиентов  10
Аналоговый видевыход  Композитный, 1.0В (п-п), 75 Ом (BNC)
Сеть Ethernet  10BASE-T/100BASE-TX (RJ-45)
Тревожные Входы/Выходы  1 вход / 2 выхода
Слот для карт памяти  нет
Звук  Mic/Line input
Беспроводное соединение  Да (опция)
Видеосистема  PAL/NTSC
Отношение С/Ш  более 50 дБ
Требования к электропитанию  PoE (IEEE802.3af), AC 24B, DC 12B
Потребление  29 Вт
Рабочая температура  -40… +50
Температура хранения  -20… +60
Габариты  d166 х 119 мм
Масса  1,4 кг
Операционная система  Microsoft Windows 7/Vista/XP, DirectX 9.0 или выше
Веб браузер  Internet Explorer 6.0 / Firefox 3.5 / Safari 4.0 / Google Chrome 4.0
Минимальные системные требования  Intel Core2 Duo 2.33 ГГц.
Оперативная память  2Гб",74576,img/8882.jpg,no video
