_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
16001,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-2204 C,АНАЛОГ ВЗАМЕН: LiteView LVDR-2204D,0,img/16001.jpg
16002,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-3104 A,АНАЛОГ ВЗАМЕН: LiteView LVDR-3104D,0,img/16002.jpg
16003,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-3104 C,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/16003.jpg
16004,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-2208 B,"LiteView LVDR-2208 B - 8-ый канальный цифровой регистратор для профессиональных систем видеонаблюдения, Real Time CIF. Формат сжатия H.264 позволяет экономить место на жестком диске в 10 раз больше по сравнению с предыдущими форматами сжатия. Быстрый поиск изображения по дате/времени/списку тревожных событий, запись по детектору /таймеру/вручную, аппаратный контроль зависаний, возобновление записи после пропадания питания, детектор движения, поддержка управления по протоколу управления RS-485 для контроля  поворотными устройствами. USB-порт с возможностью подключения flash-drive, компьютерной ""мыши"". Время записи на HDD 750 Гб около 6 дней.",0,img/16004.jpg
16005,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-3108 A,АНАЛОГ ВЗАМЕН: LiteView LVDR-3108 CA,0,img/16005.jpg
16006,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-3208 C,АНАЛОГ ВЗАМЕН: LiteView LVDR-3208 CA,0,img/16006.jpg
16007,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-2216 A,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/16007.jpg
16008,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-3116 A,АНАЛОГ ВЗАМЕН: LiteView LVDR-3116 CA,0,img/16008.jpg
16009,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-3216 C,АНАЛОГ ВЗАМЕН: LiteView LVDR-3416 C,0,img/16009.jpg
16010,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-3416 C,"LiteView LVDR-3416 C - 16-ый канальный цифровой регистратор для профессиональных систем видеонаблюдения, Real Time CIF. Формат сжатия H.264 позволяет экономить место на жестком диске в 10 раз больше по сравнению с предыдущими форматами сжатия. Возможность подключения к ПК для просмотра и копирования архива и поддержкой RAID1, 16 тревожных входов, 6 тревожных выхода, быстрый поиск изображения по времени/по типу событий, запись по детектору/таймеру/тревоге/ вручную, аппаратный контроль зависаний, возобновление записи после пропадания питания, поддержка управления по протоколу управления RS-485 для контроля  поворотными устройствами. Порт e-SATA для резервного копирования. USB-порт с возможностью подключения HDD, flash, CD/DVD-RW, ""мыши"".  Время записи при максимальных параметрах  на HDD 750Гб около 3 дней",0,img/16010.jpg
16011,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-3816 D,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/16011.jpg
16012,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-3816 C IP,АНАЛОГ ВЗАМЕН: LiteView LVDR-3816 DF IP,0,img/16012.jpg
16013,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-3824 C,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/16013.jpg
16014,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,LiteView,LiteView LVDR-3832 C,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/16014.jpg
16015,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,LiteView,LiteView LVIR-3011/012,АНАЛОГ ВЗАМЕН: LiteView LVIR-7010/012,0,img/16015.jpg
16016,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,LiteView,LiteView LVIR-5021/012,"LiteView LVIR-5021/012 - видеокамера  с ИК подсветкой с большим спектром возможностей: герметичность, конструктивно встроенный кронштейн, конструктивно встроенная ИК-подсветка, автоматически включающаяся при низкой освещённости. Уличная цветная видеокамера предназначена для работы на открытом воздухе в составе телевизионных систем наблюдения. Устройство имеет установленный и уже настроенный на резкость на расстояние 10-20 метров объектив Board М12. Передачу видеосигнала необходимо осуществлять по коаксиальному кабелю с волновым сопротивлением 75 Ом. При нормальных электромагнитных условиях видеосигнал можно передавать на расстояние до 300 метров по коаксиальному кабелю типа RG 59.Камера рассчитана на непрерывную работу в течение длительного периода времени при соответствии параметров окружающей среды и питающих напряжений. Не рекомендуется отключать камеру при температуре ниже 0°С. Подключение видеокамеры осуществляется с помощью разъёма BNC (видео), питание подключается через коаксиальный разъем питания.",0,img/16016.jpg
16017,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,LiteView,LiteView LVIR-5024/012,АНАЛОГ ВЗАМЕН: LiteView LVIR-7010/012,0,img/16017.jpg
16018,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,LiteView,LiteView LVIR-7021/012,АНАЛОГ ВЗАМЕН: LiteView LVIR-9021/012,0,img/16018.jpg
16019,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,LiteView,LiteView LVIR-5041/012 VF,АНАЛОГ ВЗАМЕН: LiteView LVIR-7040/012 VF,0,img/16019.jpg
16020,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,LiteView,LiteView LVIR-5042/012 VF,АНАЛОГ ВЗАМЕН: LiteView LVIR-7042/012 VF,0,img/16020.jpg
16021,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,LiteView,LiteView LVIR-5044/012 VF,АНАЛОГ ВЗАМЕН: LiteView LVIR-7044/012 VF,0,img/16021.jpg
