_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
2007,"Системы видеонаблюдения|IP-видеонаблюдение|Термокожухи, кронштейны, аксессуары",AXIS,AXIS DBH24K0F028 (0216-001),">> Пожалуйста, не задавайте здесь вопросов магазину, это форма для ОТЗЫВОВ ПОЛЬЗОВАТЕЛЕЙ ТОВАРА! Мы ценим Ваше время! Коментарии публикуются после модерации<<<",0,img/2007.jpg
2008,"Системы видеонаблюдения|IP-видеонаблюдение|Термокожухи, кронштейны, аксессуары",AXIS,AXIS DBH24K0F022 (0216-011),">> Пожалуйста, не задавайте здесь вопросов магазину, это форма для ОТЗЫВОВ ПОЛЬЗОВАТЕЛЕЙ ТОВАРА! Мы ценим Ваше время! Коментарии публикуются после модерации<<<",0,img/2008.jpg
2010,"Системы видеонаблюдения|IP-видеонаблюдение|Термокожухи, кронштейны, аксессуары",AXIS,AXIS DBH04 (0216-041),">> Пожалуйста, не задавайте здесь вопросов магазину, это форма для ОТЗЫВОВ ПОЛЬЗОВАТЕЛЕЙ ТОВАРА! Мы ценим Ваше время! Коментарии публикуются после модерации<<<",0,img/2010.jpg
2011,"Системы видеонаблюдения|IP-видеонаблюдение|Термокожухи, кронштейны, аксессуары",AXIS,AXIS 216FD DropCeilingMount (5005-031),">> Пожалуйста, не задавайте здесь вопросов магазину, это форма для ОТЗЫВОВ ПОЛЬЗОВАТЕЛЕЙ ТОВАРА! Мы ценим Ваше время! Коментарии публикуются после модерации<<<",4350,img/2011.jpg
2012,"Системы видеонаблюдения|IP-видеонаблюдение|Термокожухи, кронштейны, аксессуары",AXIS,AXIS 216FD DropCeilingMount (5005-041),">> Пожалуйста, не задавайте здесь вопросов магазину, это форма для ОТЗЫВОВ ПОЛЬЗОВАТЕЛЕЙ ТОВАРА! Мы ценим Ваше время! Коментарии публикуются после модерации<<<",0,img/2012.jpg
2015,"Системы видеонаблюдения|IP-видеонаблюдение|Термокожухи, кронштейны, аксессуары",AXIS,AXIS 216FD-V Casing & DomeGlassClear (5005-051),">> Пожалуйста, не задавайте здесь вопросов магазину, это форма для ОТЗЫВОВ ПОЛЬЗОВАТЕЛЕЙ ТОВАРА! Мы ценим Ваше время! Коментарии публикуются после модерации<<<",0,img/2015.jpg
2016,"Системы видеонаблюдения|IP-видеонаблюдение|Термокожухи, кронштейны, аксессуары",AXIS,AXIS 216FD-V Casing & DomeGlassSmoked (5005-061),AXIS 216FD-V Casing & DomeGlassSmoked (5005-061) - кожух с тонированным плафоном для изделия AXIS 216FD-V.,0,img/2016.jpg
2017,"Системы видеонаблюдения|IP-видеонаблюдение|Термокожухи, кронштейны, аксессуары",AXIS,AXIS 225 DropCeilingMount (5003-001),Кронштейн-адаптер для установки изделия AXIS 225FD в фальш-потолок.,7298,img/2017.jpg
2022,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,AXIS,AXIS Video Server Rack (0192-002),"АНАЛОГ ВЗАМЕН
Описание AXIS Video Server Rack (0192-002)AXIS Video Server Rack (0192-002) - корпус 19"" Rack Mount для установки до 12 энкодеров AXIS Blade.Технические характеристики AXIS Video Server Rack (0192-002)Габариты  482х132х300 мм (3U)
Питание  100-240В(АС)",63847,img/2022.jpg
2023,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,AXIS,AXIS 291 1U Video Server Rack (0267-002),"Описание AXIS 291 1U Video Server Rack (0267-002)Шасси AXIS 291 1U Video Server Rack (0267-002) разработан для удобства эксплуатации и быстрой замены и установки сетевых сверхтонких видеосерверов Axis. Шасси поддерживает до 3 взаимозаменяемых «лезвий» Axis с возможностью «горячей замены» - не требуется отключения питания при установке и замене видеосерверов. Серверное rack-шасси имеет встроенный 1Гбит коммутатор, три контактных группы ввода/вывода с полудуплексным портом RS422/485. AXIS 291 1U Video Server Rack (0267-002) обеспечивает высокую надежность и функциональность с возможностью быстрой, гибкой и профессиональной установки. Работает со сверхтонкими (blade) видеосерверами Axis.Функциональные возможности AXIS 291 1U Video Server Rack (0267-002):Шасси AXIS 291 1U Video Server Rack (0267-002) – устройство, устанавливаемое в 19-дюймовую стойку, допускающее установку до трёх взаимозаменяемых сверхтонких видеосерверов Axis. Оно оснащено встроенным гигабитным коммутатором, что позволяет преобразовывать видео сигналы с аналоговых камер (от 1 до 12) в IP-видеопоток через один порт Ethernet.
В AXIS 291 1U Video Server Rack (0267-002) на тыльной панели каждого отсека имеются разъемы последовательного порта и порта цифрового ввода-вывода, а также встроенный блок питания. За счёт этого максимально упрощён монтаж. В шасси предусмотрена «горячая замена», установленных в него видеосерверов, т.е. для их монтажа или демонтажа не нужно отключать питание.
Компактная видеосерверная стойка AXIS 291 1U максимально упрощает работу технического персонала по установке видеосерверов. 
Сочетание видеосерверной стойки и сверхтонких видеосерверов AXIS позволяет перевести видеонаблюдение с аналогового на высокопроизводительные IP решения.
AXIS 291 1U Video Server Rack (0267-002) разработан для приложений в которых расширение предполагает не только увеличение количества каналов, но и использование камер различных типов. Это решение идеально подходит для аэропортов, гостиниц, вокзалов и т.д., где уже установлены аналоговые камеры.
Работает со следующими моделями ""лезвий"" - AXIS 240Q Blade, AXIS 241Q Blade, AXIS 241S Blade, AXIS 243Q Blade. Технические характеристики AXIS 291 1U Video Server Rack (0267-002)Цифровые входы/выходы	4/4 * 3
Порты	RS-485/422 * 3
Сеть Ethernet	10baseT/100baseTX/1000baseT
Встроенный детектор движения	В зависимости от моделей видеосерверов
Защита	В зависимости от моделей видеосерверов
Размеры [ШхВхГ]	483 x 48 х 345 мм (с монтажными скобами)
Температурный диапазон	5 - 50 ºCДокументация  AXIS 291 1U Video Server Rack (0267-002)Техническое описание AXIS 291 1U Video Server Rack

Инструкция пользователя AXIS 291 1U Video Server Rack - Руководство по установке
",29417,img/2023.jpg
