_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
40002,Домофонные системы|Домофоны|Видеодомофон,Commax,Commax Комплект CDV-71AM XL/Visit White,"Комплект видеодомофона Commax CDV-71AM XL/Visit White состоит из популярного видеодомофона Commax CDV-71AM с цветным экраном и с 1 из 2-ух вариантов вызывных панелей на выбор:

- Activision AVC-305(PAL)

- Activision AVР-508U (PAL)

Цветной монитор видеодомофона Commax CDV-71AM - является одной из самых  популярных и удачных мониторов домофонов COMMAX. Модель с 7"" цветным экраном TFT/LCD. К монитору, возможно подключать не только две видеокамеры или две вызывные видеопанели, но и две видеокамеры дополнительно. У данной модели нет трубки (HANDS-FREE), а для общения с посетителями используется кнопка. Видеомофон поддерживает и отображает видеокамеры в формате PAL и NTCS, но позволяет работать и корректно отображать видео только в одном формате. Также у монитора  есть функция отображения картинки в картинке (PIP), что позволяет получить видеоизображение на одном экране сразу с двух видеокамер, при этом каждую камеру, есть возможность увеличивать на весь экран монитора.",0,img/40002.jpg
40003,Домофонные системы|Домофоны|Видеодомофон,Commax,Commax Комплект CDV-71AM XL/Visit Black,"Комплект видеодомофона Commax CDV-71AM XL/Visit Black состоит из популярного видеодомофона Commax CDV-71AM с цветным экраном и с 1 из 2-ух вариантов вызывных панелей на выбор:

- Activision AVC-305(PAL)

- Activision AVР-508U (PAL)

Цветной монитор видеодомофона Commax CDV-71AM - является одной из самых  популярных и удачных мониторов домофонов COMMAX. Модель с 7"" цветным экраном TFT/LCD. К монитору, возможно подключать не только две видеокамеры или две вызывные видеопанели, но и две видеокамеры дополнительно. У данной модели нет трубки (HANDS-FREE), а для общения с посетителями используется кнопка. Видеомофон поддерживает и отображает видеокамеры в формате PAL и NTCS, но позволяет работать и корректно отображать видео только в одном формате. Также у монитора  есть функция отображения картинки в картинке (PIP), что позволяет получить видеоизображение на одном экране сразу с двух видеокамер, при этом каждую камеру, есть возможность увеличивать на весь экран монитора.",0,img/40003.jpg
40004,Системы контроля доступа|Шлагбаумы и автоматика для ворот|Аксессуары для стрел,CAME,CAME G028401/6,"Дюралайт на стрелу 3 метра со светодиодами CAME G028401/6 используется для дополнительного обозначения стрелы автоматического шлагбаума в темное время суток. Светодиодный дюралайт имеет ряд важных преимуществ, которые заключаются в его легкости, гибкости, прототе монтажа и долговечности. Срок эксплуатации дюралайта со светодиодами составляет порядка 100 тысяч часов, что значительно превышает ресурс обычных ламп. Помимо этого светодиодный дюралайт великолепно справляется со значительными механическими нагрузками и потребляет минимум электроэнергии. Один метр светодиодного шнура потребляет 1,5-2.5 Вт. Дюралайт на стрелу со светодиодами является источником чистого ровного света, причем практически не подвержен нагрванию, что сводит к минимуму вероятность возгорания. Может использоваться в качестве декоративного элемента.",2862,img/40004.jpg
40005,Системы контроля доступа|Шлагбаумы и автоматика для ворот|Аксессуары для стрел,CAME,CAME G03003,"CAME G03003 - кронштейн крепления стрелы полуовального сечения, укомплектованный декоративной накладкой поверх кронштейна крепления стрелы и заглушкой.",3996,img/40005.jpg
40006,Системы контроля доступа|Шлагбаумы и автоматика для ворот|Стрелы шлагбаумов,CAME,CAME G03750/3,"CAME G03750/3 - стрела длиной 3 м из окрашенного алюминия представляет собой дополнительный аксессуар с полуовальным сечением, белого цвета, с заглушкой и противоударным профилем. Возможна установка дюралайта. Для использования в зонах с повышенной ветровой нагрузкой. При помощи представленной модели осуществляется монтаж автоматических шлагбаумов CAME GARD 3000",0,img/40006.jpg
40007,Системы контроля доступа|Шлагбаумы и автоматика для ворот|Аксессуары для шлагбаумов и автоматики,CAME,CAME LBD2,Плата CAME LBD2 предназначена для аварийного питания привода BX246.Данное изделие разработано и произведено компанией CAME Cancelli Automatici S.p.A. в полном соответствии с действующими нормами безопасности. Гарантийный срок составляет 36 месяцев при отсутствии повреждений и следов самостоятельного ремонта.,1674,img/40007.jpg
40008,Системы контроля доступа|Шлагбаумы и автоматика для ворот|Аксессуары для шлагбаумов и автоматики,CAME,CAME AT02EV,"CAME AT02 - брелок-передатчик 2-х  канальный c динамическим кодом.  Atomo - это гармоничное слияние продуманного дизайна и передовых технологий. Этот элегантный и практичный пульт управления, который выполнен из высококачественных материалов и гарантирует пользователям максимальную надежность. Передатчик Atomo использует технологию динамического кода, который меняется при каждом сигнале и обеспечивает абсолютную безопасность и секретность исходящего сигнала. При каждом получении сигнала выбирается одна из более чем 4 миллиардов возможных комбинаций и отправляется к принимающему устройству с помощью специального алгоритма, который может быть расшифрован только соответствующим принимающим устройством. ",1395,img/40008.jpg
40009,Системы контроля доступа|Шлагбаумы и автоматика для ворот|Аксессуары для шлагбаумов и автоматики,CAME,CAME DD-1KB,"CAME DD-1KB - Сигнальная лампа универсальная 230/24 В, с основанием и кронштейном для настенного монтажа. Светодиодное освещение, синее.",3402,img/40009.jpg
40010,Системы контроля доступа|Шлагбаумы и автоматика для ворот|Аксессуары для шлагбаумов и автоматики,CAME,CAME DD-1TA433,CAME DD-1TA433 - Антенна 433 МГц для лампы DD-1KA/KB ,1305,img/40010.jpg
40011,Системы контроля доступа|Шлагбаумы и автоматика для ворот|Аксессуары для шлагбаумов и автоматики,CAME,CAME DD-1TA868,CAME DD-1TA868 - Антенна 868 МГц для лампы DD-1KA/KB ,1305,img/40011.jpg
