_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
22001,"Источники электропитания|Источники бесперебойного питания до 12В|Сибирский арсенал Парус 12-0,5П",Сибирский арсенал,"Сибирский арсенал Парус 12-0,5П","Сибирский арсенал Парус 12-0,5П служит для обеспечения непрерывной работы устройств, требующих напряжения питания 12 В, и предназначен для круглосуточной работы. Два светодиодных индикатора позволяют визуально контролировать наличие напряжения в сети и на выходе источника. Индикатор ""Сеть"" светится зелёным светом при наличии напряжения в сети и гаснет при отсутствии напряжения. Индикатор «Выход 12 В» горит зеленым светом при наличии выходного напряжения и гаснет при отключении выходного напряжения выключателем.Напряжение на выходе снимается при появлении перегрузки по выходу, разрядке аккумулятора или ручном отключении с помощью расположенного на боковой панели выключателя.",735,img/22001.jpg
22002,"Источники электропитания|Источники бесперебойного питания до 12В|Сибирский арсенал Парус 12-4,5М",Сибирский арсенал,"Сибирский арсенал Парус 12-4,5М","Сибирский арсенал Парус 12-4,5М  предназначен для обеспечения бесперебойного электропитания устройств охранно-пожарной сигнализации, камер видеонаблюдения, электромеханических замков и других потребителей при номинальном напряжении 12 В постоянного ток. Устройство имеет на передней панели световые индикаторы: ""СЕТЬ"" индицирует наличие сетевого напряжения; ""ВЫХОД"" индицирует наличие выходного напряжения или наличие неисправности.  На боковой панели  расположен переключатель ""Выход"", предназначенный для включения/выключения выходного напряжения. При отключенном переключателе ""Выход"", индикатор ""ВЫХОД"" горит красным светом и выдаётся однотонный звуковой сигнал. Блокировка отключения выходного напряжения осуществляется замыканием джампера JP, установленного на плате.  При питании от сети и при срабатывании защиты от перегрузки отключается выход +12В, индикатор ""ВЫХОД"" загорится красным светом и выдаётся однотонный звуковой сигнал.   При питании от сети или от аккумулятора и при коротком замыкании выхода перегорает предохранитель FU2, загорается индикатор ""ВЫХОД"" красным цветом и выдается однотонный звуковой сигнала.  Заряд аккумулятора происходит в буферном режиме напряжением 13,7...13,9 В.",2923,img/22002.jpg
22003,Источники электропитания|Источники бесперебойного питания до 12В|Сибирский арсенал Парус 12-1П исп.1,Сибирский арсенал,Сибирский арсенал Парус 12-1П исп.1,"Сибирский арсенал Парус 12-1П исп.1  служит для обеспечения непрерывной работы устройств, требующих напряжения питания 12 В, и предназначен для круглосуточной работы.  При срабатывании защиты от перегрузки ИВЭП отключается выход +12В, индикатор ""+12В"" мигает красным светом и выдаётся прерывистый звуковой сигнал.  Восстановление выходного напряжения после снятия короткого замыкания или перегрузки происходит через 20...30 с. Не допускается продолжительная работа ИВЭП в режиме короткого замыкания или перегрузки. В ИВЭП применен режим ""плавного"" включения выходного напряжения, поэтому задержанное появление индикации выходного напряжения является нормальным. Заряд аккумулятора происходит в буферном режиме напряжением 13,7:13,8 В. При глубоком разряде АКБ выход +12В отключается, индикатор ""АКБ"" гаснет, индикатор ""+12В"" кратковременно мигает красным и выдается кратковременный однотонный сигнал. При установке в ИВЭП глубоко разряженного или неисправного аккумулятора индикатор ""АКБ"" не включается, пока аккумулятор не будет заряжен.",1368,img/22003.jpg
22004,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,ACTi,ACTi ACM-8511,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/22004.jpg
22005,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,ACTi,ACTi TCM-6630,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/22005.jpg
22006,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,ACTi,ACTi ACM-3701E,"ACTi ACM-3701E - купольная фиксированная IP-видеокамера с корпусом IP66, позволяющим защищать от воды, пыли  и вандализма. Камера оборудована 1/3’’ прогрессивной матрицей и фиксированным объективом. В сеть IP-камера транслирует несколько видеопотоков типа MJPEG или MPEG-4 в наибольшем разрешении. Реализован детектор движения и фантомное питание через сетевой кабель. Сетевой интерфейс оснащен усиленным резиновым корпусом разъемом RJ-45.",0,img/22006.jpg
22007,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,ACTi,ACTi D91,"ACTi D91 - купольная камера, построенная на CMOS-матрице с прогрессивной разверткой, формирующей изображение высокого разрешения. Камера обеспечивает качественное изображение в условиях минимального освещения. Устройство поддерживает видеодетекцию движения, а интеллектуальный функционал дополнен различными тиггерами, позволяющими отправлять сообщения в центр управления, а также уведомлений по электронной почте с прикрепленным к ним кадром, изменение настройки камеры. Модель выполнена в антивандальном корпусе с классом защиты IK08 и работает в температурном режиме от -10°C до 50°C. Кроме того устройство оснащено слотом для карт памяти MicroSDHC, поддерживает питание РоЕ по классу 1 и является ONVIF совместимым устройством.",12181,img/22007.jpg
22008,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,ACTi,ACTi D92,"ACTi D92 представляет собой купольную внутреннюю антивандальную камеру, построенную на CMOS-матрице с прогрессивной разверткой, формирующей изображение высокого разрешения. Устройство поддерживает видеодетекцию движения, а интеллектуальный функционал дополнен различными тиггерами, позволяющими отправлять сообщения в центр управления, а также уведомлений по электронной почте с прикрепленным к ним кадром, изменение настройки камеры. Камера обеспечивает качественное изображение в условиях минимального освещения. Модель выполнена в антивандальном корпусе с классом защиты IK08 и работает в температурном режиме от -10°C до 50°C. Кроме того устройство оснащено слотом для карт памяти MicroSDHC, поддерживает питание РоЕ по классу 1 и является ONVIF совместимым устройством.",14917,img/22008.jpg
22009,Домофонные системы|Переговорные устройства|STELBERRY D-700,STELBERRY,STELBERRY D-700,"STELBERRY D-700 - переговорное устройство громкой связи, которое позволяет директору и секретарю оперативно связываться друг с другом, не прибегая к офисным . Переговорное устройство директор-секретарь состоит из двух пультов, соединяемых между собой по четырехпроводной линии. Пульты оснащены удобным сенсорным меню, позволяющим отрегулировать громкость и чувствительность до комфортного уровня. Пульт директора оснащен кнопкой вызова секретаря. Подсветка микрофона переговорного устройства громкой связи автоматически включается во время разговора между директором и секретарем. Микрофоны пультов оснащены фильтрами ветровой защиты из акустического поролона, которые значительно улучшают качество звука, исключая влияние ветровой составляющей. Оба пульта оснащены функцией громкого оповещения. Эффективная офисная связь, которую обеспечивает переговорное устройство директор-секретарь, значительно повышает оперативность общения директора и секретаря. Фактически, переговорное устройство можно применять для любого типа офисной связи, например между директором и бухгалтером, или между директором и его заместителем. Высокая чувствительность устройства позволяет общаться на достаточном расстоянии от пульта, параллельно занимаясь текущими делами.Большой диапазон регулировки позволяет идеально настроить громкость переговорного устройства директор-секретарь для любого типа помещений - от небольшой приемной до внушительного кабинета директора.Наличие функции громкого оповещения позволяет не только оперативно найти любого сотрудника, но и давать объявления по системе громкой связи, например о предстоящем совещании. Основным преимуществом сенсорного меню является неограниченное количество нажатий на кнопки и как следствие высокая надежность переговорного устройства громкой связи. Также сенсорное управление обеспечивает надежную защиту пульта от попадания влаги. Сенсорные клавиши настроены таким образом, что для управления устройством достаточно легкого прикосновения. Очевидным плюсом переговорного устройства громкой связи является возможность участия в разговоре третьих лиц, что несомненно актуально для быстрого принятия оперативных решений. Еще одно преимущество данного решения - возможность параллельно заниматься текущей работой без необходимости находится рядом с переговорным устройством, например поиск секретарем необходимых документов.Управление STELBERRY D-700
Функции пульта директора
Удобно расположенные сенсорные кнопки на пульте директора позволяют оперативно управлять функциями переговорного устройства. Для включения громкоговорящей связи необходимо просто прикоснуться к кнопке TALK, а для выключения повторно коснуться этой клавиши. Для удобства управления функциями офисной связи, часто используемые функции вынесены на передний план переговорного устройства, а управление громкостью и чувствительностью расположены по бокам пульта.
Функции пульта секретаря
Клавиши управления пульта секретаря расположены аналогично кнопкам на пульте директора, но ряд функций различается.Для разговора с директором необходимо нажать и удерживать кнопку TALK. При нажатии этой кнопки, секретарь может задать вопрос директору, но не сможет услышать происходящее в его кабинете. Кнопка «индикации вызова» служит для подтверждения вызова секретаря с пульта директора. Для прекращения вызова необходимо нажать кнопку TALK.
Кнопка для общения с секретарем
При нажатии кнопки TALK на пульте директора происходит включение двусторонней аудиосвязи между пультами. Разговор может прервать только директор, повторно нажав на эту кнопку.
Кнопка вызова секретаря
Очень полезная клавиша на пульте директора, особенно если секретарь отлучился.
Директору достаточно прикоснуться к этой кнопке на своем пульте и на переговорном устройстве секретаря будет раздаваться сигнал вызова со световой индикацией. Для прекращения сигнала вызова, секретарь должен ответить директору, нажав на кнопку TALK. Впрочем директор сам может прервать вызов, повторно нажав на кнопку вызова секретаря. Также, функция полезна, когда в кабинете проходят важные переговоры и необходимо вызвать секретаря, не прибегая к громкой связи.
Функция громкого оповещения
Переговорное устройство директор-секретарь снабжено функцией громкого оповещения, которое может быть реализовано при помощи любого трансляционного оборудования. Офисная связь, в составе которой имеется система громкого оповещения позволяет оперативно найти любого сотрудника в офисе, в случае его отсутствия на рабочем месте. Также, данная функция полезна, если сотрудникам необходимо сообщить о предстоящем совещании. Функция громкого оповещения доступна как на пульте директора, так и на пульте секретаря.
Удобная конструкция микрофона
Насадка из акустического поролона значительно улучшает качество звука переговорного устройства директор-секретарь, обеспечивая защиту от ветровой составляющей, возникающей при работающих в помещении . Легкое, не утомляющее глаза свечение микрофона индицирует режим работы. Все очень просто - когда микрофон включен, он светится.
Назначение разъемов STELBERRY D-700
Питание
Разъем для подключения питания. В комплект поставки переговорного устройства входят 2 блока питания.
Наличие индивидуальных блоков питания для каждого пульта гарантирует стабильное качество звука на больших расстояниях между устройствами.
Выход для соединения пультов
При помощи кабелей, идущих в комплекте необходимо соединить оба пульта, соблюдая цветовую раскладку проводов. Если возникнет необходимость соединения собственным кабелем, например через удобно установленную телефонную розетку, то необходимо соблюдать очередность контактов.
Линейный выход для записи разговоров
Линейный аудиовыход со стандартным уровнем аудиосигнала 1 Вольт для подсоединения разъема типа «тюльпан». Предназначен для записи переговоров на любой аудиорегистратор. Конечно, разговор директора и секретаря конфиденциален, но в ряде случаев запись переговоров может быть полезной.
Громкое оповещение
Выход для системы громкого оповещения. В качестве трансляционного оборудования можно использовать любые усилители, имеющие линейные аудиовходы. Офисная связь, имеющая в составе переговорное устройство громкой связи с функцией громкого оповещения повышает оперативность обмена информацией между сотрудниками.
Система оповещения на основе оборудования Roxton
Офисная связь
Полноценная офисная связь может быть легко реализована с помощью оборудования громкого оповещения. Переговорное устройство громкой связи идеально интегрируется с оборудованием ROXTON. Неоспоримым преимуществом является возможность организации офисного громкого оповещения сразу с двух пультов. Наличие в усилителе регулировок высоких и низких частот позволяет получить сбалансированный звук для любых типов офисных помещений.
Простота установки
Для организации полноценной системы громкого оповещения достаточно соединить выходы громкого оповещения пультов со входами AUX1 и AUX2 усилителя ROXTON AA-35. К усилителю могут быть подключены параллельно до 6 колонок ROXTON PA-620T. Удобная конструкция потолочных громкоговорителей позволяет с легкостью смонтировать их в подвесной потолок.Технические характеристики STELBERRY D-700Полоса пропускания: 100...8200 Гц
Линия связи: 4-х проводная
Дальность линии связи: 100 метров
Тип кнопок: Сенсорные
Регулировка громкости: 16 уровней
Регулировка чувствительности: 16 уровней
Мощность пульта ""Директор"": 1.0 Вт
Мощность пульта ""Секретарь"": 1.0 Вт
Громкость пульта ""Директор"": 84 дБ
Громкость пульта ""Секретарь"": 84 дБ
Уровень сигнала громкой связи: 1 Вольт
Ветровая защита: Акустический поролон
Материал корпуса: Тактильный пластик
Питание: 12 Вольт
Потребление в дежурном режиме: до 40 мА
Потребление в рабочем режиме: до 310 мА
Диапазон рабочих температур: +10...+35° С
Габариты пульта ""Директор"": 120х140х40 мм
Габариты пульта ""Секретарь"": 120х140х40 мм
Вес в упаковке: 710 грКомплектация STELBERRY D-700Пульт ""Директор"": 1 шт
Пульт ""Секретарь"": 1 шт
Блок питания: 2 шт
Соединительный кабель: 2 штДокументация STELBERRY D-700Техническое описание STELBERRY D-700
Сертификат соответствия STELBERRY D-700Параметры STELBERRY D-700
 

                ",9369,img/22009.jpg
22010,Системы видеонаблюдения|Микрофоны|STELBERRY M-50,STELBERRY,STELBERRY M-50,"STELBERRY M-50 является абсолютно новым решением для систем записи звука и лучшим микрофоном для голоса в своем классе. Быстродействующая цифровая обработка сигнала эффективно выделяет речевой диапазон, заметно снижая лишние звуки в области низких и высоких частот. Микрофон снабжен двойной цифровой системой Автоматической Регулировки Усиления со скоростью реагирования менее одной тысячной доли секунды. Внешний регулятор позволяет подстроить чувствительность цифрового микрофона для любых условий эксплуатации.
IP микрофон
Цифровой микрофон идеально подходит для подключения на линейный вход IP камер, идеально передавая акустическую картину окружающей среды. Данное применение фактически делает его полноценным IP микрофоном. Также, несомненным плюсом данного решения, является возможность установки цифрового микрофона в любом месте, независимо от места установки IP камеры. 
Быстродействующий цифровой сигнальный процессор
Миниатюрный цифровой сигнальный процессор (DSP) обеспечивает оцифровку аудиосигнала со звукового капсюля с частотой оцифровки 44100 Гц и дискретизацией 16 бит. Отличительной особенностью процессора является наличие 2-х скоростных АРУ, обеспечивающих молниеносную автоматическую регулировку усиления, как на входе, так и на выходе устройства. 6 цифровых фильтров процессора обрабатывают сигнал таким образом, чтобы на линейном выходе оставался только речевой диапазон. Точный встроенный предусилитель гарантирует высокое отношение сигнал/шум. 
Управляющий процессор цифрового микрофона
Центральный управляющий процессор цифрового микрофона обеспечивает регулировку усиления микрофона и управление параметрами обработки сигнала. Процессор гарантирует быстрый выход микрофона на рабочий режим после подачи питания, благодаря высокоскоростной линии обмена с сигнальным процессором. 
Ветровая защита цифрового микрофона
Для идеальной передачи звука, цифровой микрофон снабжен фильтром ветровой защиты. Исключая ветровую составляющую фильтр из акустического материала отсекает нежелательные звуки, возникающие при столкновении ветровых потоков с чувствительной мембраной, в результате чего получается кристальный звук. Наличие ветровой защиты позволило нам создать эффективный микрофон для голоса. 
Оптимизация микрофона под речевой диапазон
Полоса пропускания цифрового микрофона настроена на частотный диапазон человеческой речи и лежит в пределах 270...4000 Гц. Благодаря данной полосе пропускания достигается превосходная разборчивость речи, вне зависимости от посторонних источников шума. Обработка сигнала осуществляется шестью цифровыми быстродействующими фильтрами, что гарантирует высокую крутизну амплитудно-частотной характеристики в области низких и высоких частот. 
Двойная система АРУ
Микрофон снабжен двумя цифровым быстродействующими Автоматическими Регулировками Усиления (АРУ). Первая АРУ регулирует усиление на входе микрофона, сразу после оцифровки сигнала с капсюля, причем скорость реакции на изменение уровня звука составляет менее 1/1000 секунды. Это позволяет среагировать на любые, даже самые незначительные изменения звуковой обстановки окружающей среды. Вторая АРУ обрабатывает сигнал на выходе микрофона, надежно поддерживая стабильный уровень выходного сигнала. Скорость реагирования выходной системы АРУ составляет также менее 1/1000 секунды. 
Удобная регулировка
Удобное расположение регулировки чувствительности обеспечивает легкость подстройки усиления микрофона. Особенность высокочувствительного микрофона состоит в том, что регулировка коэффициента усиления происходит до начала обработки АРУ. Это позволяет легко добиться желаемого качества звука. Полоса пропускания микрофона подобрана таким образом, чтобы пропускать голосовые частоты, исключая появление нежелательных звуков от высокочастотных источников.",1533,img/22010.jpg
