_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
19002,"Системы контроля доступа|Считыватели, карты, брелоки|Считыватели",Suprema,Duali DE-620,"USB-считыватель Duali DE-620 для карт Mifare, работает в режимах чтение/запись.",14256,img/19002.jpg
19003,Источники электропитания|Вспомогательные устройства к источникам питания|Suprema Power Adapter,Suprema,Suprema Power Adapter,Адаптер Suprema 12VDC.,2736,img/19003.jpg
19005,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,PROvision,PROvision SmartDVR-400LITE,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/19005.jpg
19006,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,PROvision,PROvision SmartDVR-400,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/19006.jpg
19007,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,PROvision,PROvision SmartDVR-800LITE,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/19007.jpg
19008,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,PROvision,PROvision SmartDVR-800,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/19008.jpg
19009,Системы видеонаблюдения|Видеонаблюдение|Видеосерверы на базе плат видеоввода,PROvision,PROvision SmartDVR-1600LITE,АНАЛОГ ВЗАМЕН: PROvision SmartDVR-1600,0,img/19009.jpg
19010,Системы видеонаблюдения|Видеонаблюдение|Видеосерверы на базе плат видеоввода,PROvision,PROvision SmartDVR-1600,PROvision SmartDVR-1600 - это аналог SmartDVR-1600LITE с более мощным чипом обработки сигнала. Промышленный видеорегистратор на базе ПК позволяет записывать видеоряд со звуком одновременно с 16-и камер. Видеорегистратор построен на базе мощного компьютера на основе четырехядерного процессора Intel Core i5 под управлением операционной системы Windows 7 PRO. Присутствует возможность установки 4 жестких дисков неограниченной емкости. Так же возможно сохранение информации на компакт-диски и любые карты памяти.,0,img/19010.jpg
19011,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,PROvision,PROvision SmartDVR-2400LITE,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/19011.jpg
19012,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,PROvision,PROvision SmartDVR-2400,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/19012.jpg
19013,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,PROvision,PROvision PVF-IR700D1 rev.2,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/19013.jpg
19014,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,PROvision,PROvision PVF-IR700 Ultimate(2.8-12),"Цветная уличная камера видеонаблюдения PROvision PVF-IR700 Ultimate(2.8-12) высокого разрешения день/ночь с ИК подсветкой. Матрица 1/3""Sony. Разрешение 700 ТВЛ. Чувствительность 0 люкс (при вкл ИК-подсветке). Одна из лучших камер, представленных на мировом рынке, благодаря поддержке самых современных функций и технологий. В основе архитектуры камер PROvision серии Ultimate лежит лучший на сегодняшний день чип обработки видеоизображения Effio-P, что позволяет получить великолепное изображение в самых неблагоприятных условиях. ",8472,img/19014.jpg
19015,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,PROvision,PROvision PVF-IR700 Ultimate(6-60),"Цветная уличная камера видеонаблюдения PROvision PVF-IR700 Ultimate(6-60) высокого разрешения день/ночь с ИК подсветкой. Матрица 1/3""Sony. Разрешение 700 ТВЛ. Чувствительность 0 люкс (при вкл ИК-подсветке). Одна из лучших камер, представленных на мировом рынке, благодаря поддержке самых современных функций и технологий. В основе архитектуры камер PROvision серии Ultimate лежит лучший на сегодняшний день чип обработки видеоизображения Effio-P, что позволяет получить великолепное изображение в самых неблагоприятных условиях. ",9189,img/19015.jpg
