_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
126644,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),TRASSIR,TRASSIR MiniNVR AnyIP 16 RE,,0,img/126644.jpg
126652,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,TRASSIR,TRASSIR Lanser 960H-1,"TRASSIR Lanser 960H-1 + ПО TRASSIR, поддержка камер 960H (700ТВЛ) 960x576 при 25Fps, H.264 - 1 канал, DualStream, аудио, телеметрия, двусторонний звук, тревожные входывыходы, 12В, поддержка карт SD для локальной записи. Любое количество каналов в CMS режиме на сервер.",14403,img/126652.jpg
126653,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы гибридные,TRASSIR,TRASSIR MiniNVR Hybrid 12,"TRASSIR MiniNVR Hybrid 12 - гибридный сетевой видеорегистратор на  базе аналоговых и IP-видеокамер под управлением TRASSIR OS (Linux), обладающее такими качествами, как: максимальная отказоустойчивость и широкий диапазон функциональных возможностей. Устройство позволяет подключить до 12 сетевых камер любого поддерживаемого производителя (с разрешением до 3Мп) и до 8 аналоговых (до 960H, 25 Fps, до 8 Мбит/с) – всего не более 12 камер (суммарный поток до 192 Мбит/с). В комплекте прилагается профессиональное ПО IP-видеорегистрации TRASSIR.",61448,img/126653.jpg
126654,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы гибридные,TRASSIR,TRASSIR MiniNVR Hybrid 18,"TRASSIR MiniNVR Hybrid 18 - гибридный сетевой видеорегистратор  на базе аналоговых и IP-видеокамер под управлением TRASSIR OS (Linux), обладающее такими качествами, как: максимальная отказоустойчивость и широкий диапазон функциональных возможностей. Устройство позволяет подключить до 18 сетевых камер любого поддерживаемого производителя (с разрешением до 3Мп) и до 16 аналоговых (до 960H, 25 Fps, до 8 Мбит/с) – всего не более 18 камер (суммарный поток до 192 Мбит/с). В комплекте прилагается профессиональное ПО IP-видеорегистрации TRASSIR. ",86781,img/126654.jpg
126659,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы гибридные,TRASSIR,TRASSIR Client 2,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/126659.jpg
126660,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),TRASSIR,TRASSIR DuoStation AnyIP 16,"TRASSIR DuoStation AnyIP 16 - сетевой видеорегистратор  на базе IP-видеокамер и обладающим такими качествами, как: максимальная отказоустойчивость и широкий диапазон функциональных возможностей. Устройство позволяет подключить до 16 сетевых видеокамер любого поддерживаемого производителя с допустимым разрешением записи и отображения до 5-и мегапикселей (суммарный поток до 512 Мбит/сек). TRASSIR DuoStation AnyIP 16 работает под управлением TRASSIR OS (на базе Linux).",83162,img/126660.jpg
126661,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),TRASSIR,TRASSIR DuoStation AnyIP 16 RE,"TRASSIR DuoStation AnyIP 16 RE - сетевой видеорегистратор  представляет собой полностью готовое к использованию высокофункциональное решение, предназначенное для расширения существующих и построения новых комплексов охранного телевидения на базе IP-видеокамер и обладающее такими качествами, как: максимальная отказоустойчивость и широкий диапазон функциональных возможностей. Устройство позволяет подключить до 16 сетевых видеокамер любого поддерживаемого производителя с допустимым разрешением записи и отображения до 5-и мегапикселей (суммарный поток до 512 Мбит/сек). DuoStation AnyIP 16 RE работает под управлением TRASSIR OS (на базе Linux). ",104875,img/126661.jpg
126662,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),TRASSIR,TRASSIR DuoStation AF 32,"TRASSIR DuoStation AF 32 - сетевой видеорегистратор  на базе IP-видеокамер и обладающим такими качествами, как: максимальная отказоустойчивость и широкий диапазон функциональных возможностей. Устройство позволяет подключить до 32 сетевых видеокамер ActiveCam и HikVision с допустимым разрешением записи и отображения до 5-и мегапикселей (суммарный поток до 512 Мбит/сек). TRASSIR DuoStation AF 32 работает под управлением TRASSIR OS (на базе Linux).",57830,img/126662.jpg
126663,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),TRASSIR,TRASSIR DuoStation AF 32 RE,"TRASSIR DuoStation AF 32 RE - сетевой видеорегистратор  на базе IP-видеокамер и обладающее такими качествами, как: максимальная отказоустойчивость и широкий диапазон функциональных возможностей. Устройство позволяет подключить до 32 сетевых видеокамер ActiveCam и HikVision с допустимым разрешением записи и отображения до 5-и мегапикселей (суммарный поток до 512 Мбит/сек). TRASSIR DuoStation AF 32 RE работает под управлением TRASSIR OS (на базе Linux). Для обеспечения наилучшего качества отображения видеорегистраторы семейства «DuoStation» оборудованы разъемом HDMI, также присутствует VGA и DVI-I (выход поддерживает подключение через переходник DVI-I VGA).",83162,img/126663.jpg
126664,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),TRASSIR,TRASSIR DuoStation AnyIP 32,"TRASSIR DuoStation AnyIP 32 - сетевой видеорегистратор  на базе IP-видеокамер и обладающим такими качествами, как: максимальная отказоустойчивость и широкий диапазон функциональных возможностей. Устройство позволяет подключить до 32 сетевых видеокамер любого поддерживаемого производителя с допустимым разрешением записи и отображения до 5-и мегапикселей (суммарный поток до 512 Мбит/сек). TRASSIR DuoStation AnyIP 32 работает под управлением TRASSIR OS (на базе Linux).",126588,img/126664.jpg
126665,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),TRASSIR,TRASSIR DuoStation AnyIP 32 RE,"TRASSIR DuoStation AnyIP 32 RE - сетевой видеорегистратор  на базе IP-видеокамер и обладающее такими качествами, как: максимальная отказоустойчивость и широкий диапазон функциональных возможностей. Устройство позволяет подключить до 32 сетевых видеокамер любого поддерживаемого производителя с допустимым разрешением записи и отображения до 5-и мегапикселей (суммарный поток до 512 Мбит/сек). TRASSIR DuoStation AnyIP 32 RE работает под управлением TRASSIR OS (на базе Linux).",148301,img/126665.jpg
126666,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы гибридные,TRASSIR,TRASSIR DuoStation Hybrid 32,"TRASSIR DuoStation Hybrid 32 - гибридный сетевой видеорегистратор  на базе аналоговых и IP-видеокамер, обладающее такими качествами, как: максимальная отказоустойчивость и широкий диапазон функциональных возможностей. Устройство позволяет подключить до 32 сетевых камер любого поддерживаемого производителя (с разрешением до 5 Mpix) и до 16 аналоговых (до 960H, 25 Fps, до 8 Мбит/с) – всего не более 32 камер (суммарный поток до 512 Мбит/с). TRASSIR DuoStation Hybrid 32 работает под управлением TRASSIR OS (на базе Linux).",141064,img/126666.jpg
126701,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 4 M2,"MACROSCOP NVR 4 M 2 представляет собой 4 канальный IP-видеорегистратор. Данная модель дает гарантированную обработку и запись видео и аудио от 4 IP-камер (2 Мегапикселя и 25 кадр/сек в H.264 с использованием детекторов движения камер или постоянной записи; 2 Мегапикселя и 12 кадр/сек в MJPEG с использованием детекторов движения камер или программного детектора Macroscop). Имеется крепление на монитор, стену. Возможно подключение одного монитора. Устройство работает под управлением ОС Windows 7. Возможно подключение любой IP-камеры из списка проинтегрированных моделей. Неограниченное количество удаленных рабочих мест (УРМ). Имеется управление поворотными камерами. Данная модель видеорегистратора – профессионально подобранная и протестированная аппаратная платформа, гарантированно поддерживающая обработку и запись видео и аудио от указанного количества IP-камер.",73934,img/126701.jpg
126702,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 9 M2,"MACROSCOP NVR 9 M 2 представляет собой 4 канальный IP-видеорегистратор. Данная модель дает гарантированную обработку и запись видео и аудио от 4 IP-камер (2 Мегапикселя и 25 кадр/сек в H.264 с использованием детекторов движения камер или постоянной записи; 2 Мегапикселя и 12 кадр/сек в MJPEG с использованием детекторов движения камер или программного детектора Macroscop). Имеется крепление на монитор, стену. Возможно подключение одного монитора. Устройство работает под управлением ОС Windows 7. Возможно подключение любой IP-камеры из списка проинтегрированных моделей. Неограниченное количество удаленных рабочих мест (УРМ). Имеется управление поворотными камерами. Данная модель видеорегистратора – профессионально подобранная и протестированная аппаратная платформа, гарантированно поддерживающая обработку и запись видео и аудио от указанного количества IP-камер.",88004,img/126702.jpg
