_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
100014,Системы видеонаблюдения|Программное обеспечение для систем видеонаблюдения|ПО ЛИНИЯ,Линия,Линия PCI 4x8,"Система Линия PCI 4x8 - базовая модель, позволяющая обеспечить полный контроль за небольшим по площади пространством - маленьким магазином, приусадебным участком. Ее невысокая стоимость в сочетании с широкими функциональными возможностями отвечает всем требованиям обеспечения безопасности без лишних расходов.",0,img/100014.jpg
100015,Системы видеонаблюдения|Программное обеспечение для систем видеонаблюдения|ПО ЛИНИЯ,Линия,Линия PCI 8x8,Линия PCI 8x8 - плата видеозахвата на 8 камер. Плата видеозахвата Линия PCI 8x8 построена на новом чипе Conexant и имеет 8 видео и 2 аудио входа. Плата Линия позволяет вести запись в разрешении до 720х576 (D1) со скоростью до 8 кадров на канал (скорость зависет от мощности компьютера). В плате Линия PCI 8x8 имеется возможность индивидуальной настройки разрешения и кадровки по каждом видеоканалу. Плата видеозахвата Линия PCI 8x8 не иммет программных ограничений.,0,img/100015.jpg
100016,Системы видеонаблюдения|Программное обеспечение для систем видеонаблюдения|ПО ЛИНИЯ,Линия,Линия PCI 12x8,Линия PCI 12x8 - плата видеозахвата на 12 камер. Плата видеозахвата Линия PCI 12x8 построена на новом чипе Conexant и имеет 12 видео и 3 аудио входа. Плата Линия позволяет вести запись в разрешении до 720х576 (D1) со скоростью до 8 кадров на канал (скорость зависет от мощности компьютера). В плате Линия PCI 12x8 имеется возможность индивидуальной настройки разрешения и кадровки по каждом видеоканалу. Плата видеозахвата Линия PCI 8x8 не иммет программных ограничений.,0,img/100016.jpg
100017,Системы видеонаблюдения|Программное обеспечение для систем видеонаблюдения|ПО ЛИНИЯ,Линия,Линия 4x25 Hybrid IP,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/100017.jpg
100018,Системы видеонаблюдения|Программное обеспечение для систем видеонаблюдения|ПО ЛИНИЯ,Линия,Линия 8x25 Hybrid IP,"Система Линия 8x25 Hybrid IP является флагманом линейки, относится к самым продаваемым моделям. Разработана в 2010 году, может стать лучшим решением для организации профессионального видеонаблюдения в крупных торговых центрах, больших офисах, учебных и детских заведениях.",8820,img/100018.jpg
100019,Системы видеонаблюдения|Программное обеспечение для систем видеонаблюдения|ПО ЛИНИЯ,Линия,Линия 16x25 Hybrid IP,"Система Линия 16x25 Hybrid IP является флагманом линейки, относится к самым продаваемым моделям. Разработана в 2010 году, может стать лучшим решением для организации профессионального видеонаблюдения в крупных торговых центрах, больших офисах, учебных и детских заведениях.",17640,img/100019.jpg
100020,Системы видеонаблюдения|Программное обеспечение для систем видеонаблюдения|ПО ЛИНИЯ,Линия,Линия S 24x25 Hybrid IP,Линия S 24x25 Hybrid IP - плата видеозахвата на 24 камеры. Плата видеозахвата Линия S 24x25 Hybrid IP построена на новом чипе Conexant и имеет 24 видео и 12 аудио входов. Плата Линия S 24x25 Hybrid IP позволяет вести запись в разрешении до 704х576 (D1) со скоростью до 25 кадров на каждый канал (скорость зависит от мощности компьютера). На каждом канале платы видеозахвата Линия S 24x25 Hybrid IP установлен отдельный аналогово-Цифровой Преобразователь с усилителем сигнала. В плате Линия S 24x25 Hybrid IP имеется возможность индивидуальной настройки разрешения и кадровки по каждом видеоканалу. Плата видеозахвата Линия S 24x25 Hybrid IP не иммет программных ограничений. ,26460,img/100020.jpg
100021,Системы видеонаблюдения|Программное обеспечение для систем видеонаблюдения|ПО ЛИНИЯ,Линия,Линия S 32x25 Hybrid IP,Линия S 32x25 Hybrid IP - плата видеозахвата на 32 камеры. Плата видеозахвата Линия S 32x25 Hybrid IP построена на новом чипе Conexant и имеет 32 видео и 16 аудио входов. Плата S 32x25 Hybrid IP позволяет вести запись в разрешении до 704х576 (D1) со скоростью до 25 кадров на каждый канал (скорость зависит от мощности компьютера). На каждом канале платы видеозахвата Линия S 32x25 Hybrid IP установлен отдельный аналогово-Цифровой Преобразователь с усилителем сигнала. В плате Линия S 32x25 Hybrid IP имеется возможность индивидуальной настройки разрешения и кадровки по каждом видеоканалу. Плата видеозахвата Линия PCI-E 32x25 не иммет программных ограничений. ,35280,img/100021.jpg
100026,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,TRASSIR,TRASSIR Lanser-Mobile II,"TRASSIR Lanser-Mobile II – полноценный пентаплексный видеорегистратор. Помимо возможности оцифровывать, компрессировать и передавать видео по локальной сети, может отображать видео на 3 подключенных монитора, включая VGA, и, одновременно с видеозаписью на 2 диска SATA 2.5, воспроизводить из архива 4 канала видео синхронно. Подключение USB ""мыши"" делает управление легким и интуитивным. TRASSIR Lanser-Mobile II поддерживает локальную запись на жесткие диски или SSD flash. Это очень полезно, когда связь с центральным сервером неустойчивая или периодическая. С ним можно получить свои данные после обрыва соединения или использовать его как автономный видеорегистратор для удаленных объектов. Поддерживаются жесткие диски (SATA HDD) объемом 1 и более Терабайт, что позволяет хранить до месяца (при 4-х каналах видео 1 мегабит в секунду каждый и при непрерывной записи запись на 1Тб будет длиться 23 дня). Встроенный детектор движения позволит сэкономить дисковое пространство и хранить видео еще более длительный срок (при 8-ми часовом рабочем дне, например). Крупные или просто территориально распределенные объекты. Промышленные предприятия, многоэтажные офисные здания, сеть автозаправочных станций, жилые кварталы с локальными сетями - вот только неполный список сферы применения. Еще одно неоспоримое преимущество решения - легкое построение системы видеонаблюдения с передачей изображения в цифровом формате на базе существующей инфраструктуры. ",0,img/100026.jpg
100027,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,TRASSIR,"TRASSIR Lanser-Mobile II 3,5","TRASSIR Lanser-Mobile II 3,5 – полноценный пентаплексный видеорегистратор. Помимо возможности оцифровывать, компрессировать и передавать видео по локальной сети, может отображать видео на 3 подключенных монитора, включая VGA, и, одновременно с видеозаписью на жесткий диск SATA 3.5, воспроизводить из архива 4 канала видео синхронно. Подключение USB ""мыши"" делает управление легким и интуитивным. TRASSIR Lanser-Mobile II 3,5 поддерживает локальную запись на жесткий диски, это очень полезно, когда связь с центральным сервером неустойчивая или периодическая. С ним можно получить свои данные после обрыва соединения или использовать его как автономный видеорегистратор для удаленных объектов. Поддерживаются жесткие диски (SATA HDD) объемом 1 и более Терабайт, что позволяет хранить до месяца (при 4-х каналах видео 1 мегабит в секунду каждый и при непрерывной записи запись на 1Тб будет длиться 23 дня). Встроенный детектор движения позволит сэкономить дисковое пространство и хранить видео еще более длительный срок (при 8-ми часовом рабочем дне, например). Крупные или просто территориально распределенные объекты. Промышленные предприятия, многоэтажные офисные здания, сеть автозаправочных станций, жилые кварталы с локальными сетями - вот только неполный список сферы применения. Еще одно неоспоримое преимущество решения - легкое построение системы видеонаблюдения с передачей изображения в цифровом формате на базе существующей инфраструктуры. ",0,img/100027.jpg
