_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
28001,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Proto-X,Proto-X Proto IP-H1D20F36,АНАЛОГ ВЗАМЕН: Proto-X Proto IP-HD13F36,0,img/28001.jpg
28025,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Proto-X,Proto-X Proto-DX09V212(white),АНАЛОГ ВЗАМЕН: Proto-X Proto-DX10V212(white),0,img/28025.jpg
28026,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Sarmatt,Sarmatt SR-D80V2812IRD,,0,img/28026.jpg
28027,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Sarmatt,Sarmatt SR-S80F36IRD,,0,img/28027.jpg
28028,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Sarmatt,Sarmatt SR-S80V2812IRD,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/28028.jpg
28029,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Sarmatt,Sarmatt SR-IQ10F36IR,АНАЛОГ ВЗАМЕН: Sarmatt SR-IQ13F36IR,0,img/28029.jpg
28030,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Sarmatt,Sarmatt SR-IQ25F36IR,"Sarmatt SR-IQ25F36IR - Корпусная HD IP камера с матрицей 1/3“ CMOS, H.264/JPEG, разрешение до 1920x1080,  скорость 30 к/с, чувствительность 0,5 lux, чувствительность 1 lux, встроенный объектив f=3,6 мм., ИК подсветка 8-10 м, встроенный WEB-сервер, TCP/IP, UDP, HTTP, FTP, SMTP, DDNS, DNS, PPPoE, DHCP, UPnP, RTSP, NTP,встроенный микрофон,   ИК датчик, возможность записи на мини SD карту до 32 Гб, поддержка PoE, питание DC12V, диапазон рабочих температур от + 5° до + 50°С",5890,img/28030.jpg
28031,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,Sarmatt,Sarmatt DSR 406 Real,"Sarmatt DSR 406 Real - 4-канальный RealTime видеорегистратор, OC - Linux. Н.264. 960H(950*576), D1(704*576) - 100 к/с, Отображение - VGA(1280*1024), HDMI(1920*1080) + 1 BNC. HDD - 1 SATA до 2 Tb. RS-485 (телеметрия). Аудио входы/выходы - 4/1. Входы/выходы тревоги - 4/1. Питание 12В/ 3A (без HDD), блок питания в комплекте. Работа в сети.",4750,img/28031.jpg
28032,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,Sarmatt,Sarmatt DSR 806 Real,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/28032.jpg
28033,Системы видеонаблюдения|Микрофоны|STELBERRY M-60,STELBERRY,STELBERRY M-60,"Миниатюрный микрофон STELBERRY M-60 стал прорывом в системах записи разговоров, являясь воплощением потрясающего качества звука.",1634,img/28033.jpg
