_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
10001,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Hikvision,Hikvision DS-2CD886MF-E,"Сетевая 5-мегапиксельная камера Hikvision DS-2CD886MF-E использует автоматическую схему управления диафрагмой, что позволяет устройству выполнять свою охранную функцию в условиях различного освещения. Оптимальный параметр раскрытия диафрагмы определяется электроникой камеры. Кроме того, сетевая камера снабжена автоматическим фильтром инфракрасного излучения, а корректировка параметров электронного затвора позволяет получить чистое изображение даже в условиях низкой освещенности. В IP-камере используется одна из последних реализаций кодека H.264, воплощенная на аппаратной платформе DaVinci от Texas Instruments. Камера видеонаблюдения может передавать высококачественный сжатый видеопоток с разрешением до QSXGA (2560x1920) на скорости 8 кадров в секунду или HD-поток разрешением 1920х1080 на полной кадровой скорости. Сетевую камеру можно подключить к HD-монитору и напрямую, минуя IP-сеть - устройство снабжено HDMI-выходом для передачи цифрового сигнала разрешением 1080p. ",0,img/10001.jpg
10002,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Hikvision,Hikvision DS-2CD853F-E,АНАЛОГ ВЗАМЕН: Hikvision DS-2CD855F-E,12990,img/10002.jpg
10003,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Hikvision,Hikvision DS-2CD854F-E,"Hikvision DS-2CD854F-E - мегапиксельная FullHD 1080P цветная день/ночь корпусная IP-видеокамера под CS объектив АРД DC, построена на базе 1/3 CMOS матрице, 3 мегапикселя и обладает разрешением 2048x1536 12 кадров, предназначена для построения систем видеонаблюдения высокого разрешения. В IP-видеокамере имеется механический ИК фильтр, также присутствует самый современный формат сжатия H.264, а запись ведётся на карту формата SD. Питание камеры  осуществляеся либо от блока питания, либо через кабель Ethernet (витая пара) технология PoE. В отличии от большинства IP-видеокамер, данная камера абсолютно бесплатно поставляется с профессиональным программным обеспечением ""TRASSIR"".",0,img/10003.jpg
10004,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Hikvision,Hikvision DS-2CD883MF-E,"Hikvision DS-2CD883MF-E - 5-и мегапиксельная день/ночь корпусная IP-видеокамера под CS объектив АРД DC, в стандартном корпусе оснащена матрицей CMOS 1/2,5"" с электромеханическим фильтром. Камера имеет рестайлинговый корпус в классическом форм-факторе. Слот SD-карты (до 32 Гбайт) находится на правой боковой панели, он располагается под сдвигающейся крышкой, разъем для подключения автодиафрагмы остался на левом боку камеры, как и у предыдущих моделей Hikvision. На задней панели 3,5-миллиметровые разъемы для подключения двухстороннего звука, аналоговый выход для подключения BNC, колодка тревожного входа и выхода, разъем питания 12 В c индикатором.",0,img/10004.jpg
10005,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Hikvision,Hikvision DS-2CD893PF-EW,"IP-камера с поддержкой беспроводной сети в стандартном корпусе Hikvision DS-2CD893PF-EW комплектуется современной матрицей 1/3″ SONY Super HAD CCD с разрешением 540 Твл. Функция «ДеньНочь» с ICR фильтром, а также высокий уровень чувствительности гарантируют высокое качество изображения вне зависимости от уровня освещения. Питание камеры осуществляеся либо от блока питания (идёт в комплекте), либо через кабель Ethernet (витая пара) технология PoE. ",0,img/10005.jpg
10006,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Hikvision,Hikvision DS-2CD893PFWD-EW,"IP-камера с поддержкой беспроводной сети в стандартном корпусе Hikvision DS-2CD893PFWD-EW комплектуется современной матрицей 1/3″ SONY Super HAD CCD с разрешением 540 Твл, поддерживает режим WDR (широкий динамический диапазон). Функция «ДеньНочь» с ICR фильтром, а также высокий уровень чувствительности гарантируют высокое качество изображения вне зависимости от уровня освещения. Питание камеры осуществляеся либо от блока питания (идёт в комплекте), либо через кабель Ethernet (витая пара) технология PoE. ",0,img/10006.jpg
10007,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Hikvision,Hikvision DS-2CD793PF-E,АНАЛОГ ВЗАМЕН: Hikvision DS-2CD733F-EI,0,img/10007.jpg
10008,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Hikvision,Hikvision DS-2CD793PFWD-E,АНАЛОГ ВЗАМЕН: Hikvision DS-2CD733F-EI,0,img/10008.jpg
10009,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Hikvision,Hikvision DS-2CD733F-E,"IP купольная видеокамера день/ночь Hikvision DS-2CD733F-E построена на матрице 1/4"" Progressive Scan CMOS с разрешением VGA, оснащена вариофокальным объективом с автоматической диафрагмой, двухпотоковым видео DualStream, детектором движения. Камера поддерживает питание DC12V/PoE и SD/HC карту для локального хранения видео.",0,img/10009.jpg
10010,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Hikvision,Hikvision DS-2CD753F-E,"2-ух мегапиксельная IP купольная видеокамера день/ночь Hikvision DS-2CD753F-E построена на матрице 1/4"" Progressive Scan CMOS, оснащена вариофокальным объективом с автоматической диафрагмой, двухпотоковым видео DualStream, детектором движения. Камера поддерживает питание DC12V/PoE и SD/HC карту для локального хранения видео.",18590,img/10010.jpg
