_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
20031,"Системы видеонаблюдения|Видеонаблюдение|Передатчики видеосигнала, устройства грозозащиты, тв-модуляторы",OSNOVO,OSNOVO M2E+DM2E,"OSNOVO M2E+DM2E представляет собой 2-х канальный удлинитель-уплотнитель композитного видеосигнала по одному коаксиальному кабелю (RG-6) до 1000 м с защитой от помех. Комплект состоит из передатчика и приемника, а так же содержит в себе 2 адаптера питания.",14374,img/20031.jpg
20032,"Системы видеонаблюдения|Видеонаблюдение|Передатчики видеосигнала, устройства грозозащиты, тв-модуляторы",OSNOVO,OSNOVO M2E+DM3,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/20032.jpg
20034,Системы видеонаблюдения|Видеонаблюдение|Беспроводные передатчики аудио и видеосигнала,OSNOVO,OSNOVO TA-iR,OSNOVO TA-iR представляет собой излучатель сигналов ИК управления.,789,img/20034.jpg
20035,Системы видеонаблюдения|Видеонаблюдение|Беспроводные передатчики аудио и видеосигнала,OSNOVO,OSNOVO RA-iR,OSNOVO RA-iR представляет собой приёмник сигналов ИК управления.,789,img/20035.jpg
20036,Системы видеонаблюдения|Видеонаблюдение|Беспроводные передатчики аудио и видеосигнала,OSNOVO,OSNOVO APHH10/AA(iR),OSNOVO APHH10/AA(iR) представляет собой адаптер для организации канала передачи ИК управления в коммутаторах и разветвителях HDMI.,558,img/20036.jpg
20039,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Beward,Beward CD100,"Beward CD100 - компактная цветная IP-камера, которая предназначена для работы в помещении совместно с сервисом хостингового видеонаблюдения CamDrive. Эта камера поддерживает формат кодирования H.264 и запись по детекции движения, что сокращает объемы архива и передаваемого трафика с сохранением качества видеоизображения. CamDrive позволяет удаленно наблюдать за происходящим в реальном времени с одной или нескольких камер, а также просматривать и управлять настройками видеосистемы, используя только веб-браузер. Для связи IP-камеры с сервисом CamDrive может быть использовано проводное подключение по кабелю Ethernet. Сервера промышленного стандарта обеспечены бесперебойной работой 24 часа в сутки. Дублирование архива на нескольких носителях исключает случайную утерю данных. Круглосуточный мониторинг работы сервиса CamDrive позволяет своевременно устранять любые возникающие проблемы. IP-камера работает с облачным сервисом CAMDRIVE. Просмотр и запись в облако осуществляется по тарифам компании CAMDRIVE.",5500,img/20039.jpg
20040,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Beward,Beward CD120,"Beward CD120 - компактная цветная IP-камера с поддержкой Wi-Fi и WPS, которая предназначена для работы в помещении совместно с сервисом хостингового видеонаблюдения CamDrive. Эта камера поддерживает формат кодирования H.264 и запись по детекции движения, что сокращает объемы архива и передаваемого трафика с сохранением качества видеоизображения. CamDrive позволяет удаленно наблюдать за происходящим в реальном времени с одной или нескольких камер, а также просматривать и управлять настройками видеосистемы, используя только веб-браузер. Для связи IP-камеры с сервисом CamDrive может быть использовано как проводное подключение по кабелю Ethernet, так и беспроводное по Wi-Fi со скоростью передачи данных до 150 Мбит/с (в режиме 802.11 n). Упрощенную настройку Wi-Fi соединения и повышенную защиту доступа к видеоданным обеспечивает WPS. Шифрование передаваемых данных делает их недоступными для злоумышленника. Сервера промышленного стандарта обеспечены бесперебойной работой 24 часа в сутки. Дублирование архива на нескольких носителях исключает случайную утерю данных. Круглосуточный мониторинг работы сервиса CamDrive позволяет своевременно устранять любые возникающие проблемы. IP-камера работает с облачным сервисом CAMDRIVE. Просмотр и запись в облако осуществляется по тарифам компании CAMDRIVE.",6300,img/20040.jpg
20041,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Beward,Beward CD600,"Beward CD600 - фиксированная цветная IP-камера с ИК-подсветкой и поддержкой технологии питания по PoE, которая полностью готова к быстрой установке и круглосуточной эксплуатации в широком диапазоне плюсовых и минусовых температур совместно с сервисом хостингового видеонаблюдения CamDrive. CamDrive позволяет удаленно наблюдать за происходящим в реальном времени с одной или нескольких камер, а также просматривать и управлять настройками видеоархива, используя только веб-браузер. IP-камера уличного исполнения предназначена для работы в жестких климатических условиях. Данная модель демонстрирует высокие показатели по отказоустойчивости в широком диапазоне температур от -40 до +50°C. При этом питание может осуществляться как от источника постоянного тока с напряжением 12 вольт, так и по технологии PoE. Камера выполнена в металлическом корпусе и надежно защищена от внешних атмосферных воздействий (пыль, вода) в соответствии со стандартом IP66. Для качественного видеонаблюдения в темное время суток устройство поддерживает режим День/Ночь. При этом ИК-подсветка на базе светодиодов 3 поколения и электромеханический ИК-фильтр работают совместно, многократно увеличивая чувствительность КМОП-сенсора при недостатке освещенности. ИК-светодиоды третьего поколения отличаются увеличенным ресурсом работы и высокой стабильностью параметров в сравнении с обычными. Камера проста и удобна в настройке и монтаже. Сервера промышленного стандарта обеспечены бесперебойной работой 24 часа в сутки. Дублирование архива на нескольких носителях исключает случайную утерю данных. Круглосуточный мониторинг работы сервиса CamDrive позволяет своевременно устранять любые возникающие проблемы. IP-камера работает с облачным сервисом CAMDRIVE. Просмотр и запись в облако осуществляется по тарифам компании CAMDRIVE.",8590,img/20041.jpg
20042,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,EverFocus,"EverFocus ACE-04SCI110EH (2,98)","EverFocus ACE-04SCI110EH (2,98) - это компактная камера, передающая видеосигнал стандарта PAL, с фиксированным объективом f=2.8 мм. В модели используется  Sony Super HAD II Color CCD матрица с высоким разрешением для такого типа устройств, которая формирует детализированную и четкую картинку.ИК посдветка позволяет камере снимать в темное время суток или в несовещенном пространсве на расстояние до 10 метров. Ко всему прочему камера защищена от попадания внутрь влаги и пыли, т.к. выполнена в соответствии со стандартом IP66. Широкий набор современных возможностей, высокое качество изображения и компактный корпус делают данную камеру отличным решением для использование  на транспорте.",6586,img/20042.jpg
20043,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,EverFocus,"EverFocus ACE-04SCI110EH (3,6)","АНАЛОГ ВЗАМЕН: EverFocus ACE-04SCI110EH (2,98)",7600,img/20043.jpg
