_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
14006,Системы видеонаблюдения|Мониторы видеонаблюдения|Мультиэкранные мониторы (видеостены),Samsung,SAMSUNG MD230X6,"SAMSUNG MD230X6 - модель монитора представляющая собой многоэкранную конфигурацию из шести ЖК-панелей на специальной подставке. Для наилучшей работы в составе многоэкранной системы, используются экраны с ультратонкой рамкой экрана. Её толщина составляет всего:7,6мм слева и справа, 8,2мм снизу и 9,4мм сверху. Как результат, расстояние между соседними экранами монитора составляет около 15,2мм по горизонтали и 17,6мм по вертикали. Благодаря разрешению каждого экрана 1920 x 1080 пикселей и соотношению сторон 16:9, на мониторе очень комфортно играть в игры и решать сложные рабочие задачи, а наличие cPVA матрицы с непревзойденной контрастностью, расширенной цветопередачей и широкими углами обзора позволит проводить презентации. Такой монитор универсален: он не только прекрасно подойдет для геймеров, которые хотят ощутить эффект присутствия в игре, но и будет оптимальным вариантом для бизнес-приложений. Особенно эффективно его применение в сфере финансов, дизайна, программирования и проектирования, где гибкость настроек портретной и ландшафтной конфигураций максимально повышает эффективность работы.",0,img/14006.jpg
14007,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Beward,Beward N13103,"Компактная IP-камера Beward N13103 со встроенным микрофоном и 10х кратным цифровым увеличением оптимально подходит для установки в помещениях и может использоваться в системах видеоконференций, удаленного мониторинга и видеонаблюдения. В качестве примера использования можно привести установку и организацию систем безопасности внутри жилых и рабочих зданий, офисных помещений, в учебных центрах, квартирах, коттеджах. Видеопоток или файлы изображения с IP-камеры N13103 можно записывать на внешние носители данных, такие, как карта памяти SDHC или удаленный файловый сервер хранения данных, без использования стороннего ПО. Все это повышает безопасность использования системы видеонаблюдения в целом и позволяет предотвратить такие проблемы, как подмена или удаление данных в архиве. В качестве удаленного файлового сервера может быть использовано специализированное NAS хранилище или самостоятельно организованное на базе ОС Windows или Linux..",6100,img/14007.jpg
14009,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Smartec,Smartec STC-3913/2,"Телекамера STC-3913 помещена в вандалозащищенный алюминиевый корпус со степенью пыле- и влагозащиты IP66. Благодаря встроенному обогревателю она стабильно работает в диапазоне температур от -40° до +50°С. Дополнительный кронштейн STB-C104 дает возможность монтажа телекамеры на стену. Модуль камеры оснащен 12-кратным трансфокатором, который дополняется функцией 16-кратного цифрового увеличения.",59567,img/14009.jpg
14010,Системы видеонаблюдения|Мониторы видеонаблюдения|Мониторы для видеонаблюдения (Вход BNC),Smartec,Smartec STM-174,STM-174 имеют формат экрана 4:3. Малая глубина корпуса и тонкая рамка обеспечивают максимальную экономию пространства в месте инсталляции.,0,img/14010.jpg
14011,Системы видеонаблюдения|Мониторы видеонаблюдения|Мониторы для видеонаблюдения (Вход BNC),Smartec,Smartec STM-194,АНАЛОГ ВЗАМЕН: Smartec STM-194L,0,img/14011.jpg
14012,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Smartec,Smartec STC-IPX3913A/1,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/14012.jpg
14028,Системы видеонаблюдения|Мониторы видеонаблюдения|Мониторы для видеонаблюдения (Вход BNC),Neovo,Neovo X-22 Black,"В мониторе Neovo X-22 Black, в котором использована матрица со светодиодной подсветкой и разрешением 1920 x 1080 Full HD, применяется технология AG Neovo AIP, обеспечивающая сверхточное отображение деталей, цветов и контраста изображения. Модель Neovo X-22 Black снабжена сенсором EcoSmart и потребляет в режиме ожидания менее 0,5 Вт, что делает ее особенно пригодной для круглосуточной работы. Благодаря богатой функциональности и утонченному дизайну, монитор прекрасно подходит для использования в любых общественным местах.Благодаря защитному стеклу и прочному металлическому корпусу модель X-22 Black может круглосуточно эксплуатироваться в самых сложных условиях.",0,img/14028.jpg
14029,Системы видеонаблюдения|Мониторы видеонаблюдения|Мониторы для видеонаблюдения (Вход BNC),Neovo,Neovo X-24 Black,АНАЛОГ ВЗАМЕН: НА ВЫБОР,0,img/14029.jpg
14033,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,MicroDigital,MicroDigital MDC-2220TDN,АНАЛОГ ВЗАМЕН: MicroDigital MDC-2220VTD,0,img/14033.jpg
14034,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,MicroDigital,MicroDigital MDC-2220VDN,АНАЛОГ ВЗАМЕН: MicroDigital MDC-2220VTD,0,img/14034.jpg
