_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
118019,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 4 L,"Cетевой видеорегистратор MACROSCOP NVR-4 является полностью готовым аппаратным решением для систем IP-видеонаблюдения любого размера. Видеорегистратор максимально упрощает процесс настройки системы, а простота использования и функциональность предустановленного программного обеспечения  делает данную модель максимально удобной в использовании на объекте. Видеорегистратор осуществляет обработку, запись видео и аудио с 4 IP-камер при 2 Мегапикселях и 25 кадр/сек в H.264 с использованием детекторов движения камер или в MJPEG с использованием детекторов движения камер или программного детектора MACROSCOP. Модель работает под управлением ОС Linux. Количество рабочих мест мониторинга (УРМ) не ограничено.  Видеорегистратор поддерживает интеллектуальные функции обнаружения и распознавания лиц, распознавания автомобильных номеров, интерактивного поиска в видеоархиве, «перехвата» объектов по приметам, а так же оборудован встроенным детектором движения.",61036,img/118019.jpg
118020,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 4 M,"Cетевой видеорегистратор MACROSCOP NVR-4 Monitor в первую очередь имеет возможность подключения монитора, что позволяет отобразить видео от всех камер и осуществить легкое управления системой. Регистратор является полностью готовым аппаратным решением для систем IP-видеонаблюдения любого размера и максимально упрощает процесс настройки системы, а простота использования и функциональность предустановленного программного обеспечения  делает данную модель максимально удобной в использовании на объекте. Видеорегистратор осуществляет обработку, запись видео и аудио с 4 IP-камер при 2 Мегапикселях и 25 кадр/сек в H.264 с использованием детекторов движения камер или в MJPEG с использованием детекторов движения камер или программного детектора MACROSCOP. Модель работает под управлением ОС Windows 7. Количество рабочих мест мониторинга (УРМ) не ограничено.  Видеорегистратор поддерживает интеллектуальные функции обнаружения и распознавания лиц, распознавания автомобильных номеров, интерактивного поиска в видеоархиве, «перехвата» объектов по приметам, а так же оборудован встроенным детектором движения.",65009,img/118020.jpg
118021,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 9 L,"Cетевой видеорегистратор MACROSCOP NVR-9 является полностью готовым аппаратным решением для систем IP-видеонаблюдения любого размера. Видеорегистратор максимально упрощает процесс настройки системы, а простота использования и функциональность предустановленного программного обеспечения делает данную модель максимально удобной в использовании на объекте. Видеорегистратор осуществляет обработку, запись видео и аудио с 9 IP-камер при 2 Мегапикселях и 25 кадр/сек в H.264 с использованием детекторов движения камер. Модель работает под управлением ОС Linux. Количество рабочих мест мониторинга (УРМ) не ограничено. Видеорегистратор поддерживает интеллектуальные функции обнаружения и распознавания лиц, распознавания автомобильных номеров, интерактивного поиска в видеоархиве, «перехвата» объектов по приметам, а так же оборудован встроенным детектором движения. ",71654,img/118021.jpg
118022,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 9 M,"Cетевой видеорегистратор MACROSCOP NVR-9 Monitor в первую очередь имеет возможность подключения монитора, что позволяет отобразить видео от всех камер и осуществить легкое управления системой. Регистратор является полностью готовым аппаратным решением для систем IP-видеонаблюдения любого размера и максимально упрощает процесс настройки системы, а простота использования и функциональность предустановленного программного обеспечения  делает данную модель максимально удобной в использовании на объекте. Видеорегистратор осуществляет обработку, запись видео и аудио с 9 IP-камер при 2 Мегапикселях и 25 кадр/сек в MJPEG с использованием детекторов движения камер или программного детектора MACROSCOP. Модель работает под управлением Windows 7. Количество рабочих мест мониторинга (УРМ) не ограничено.  Видеорегистратор поддерживает интеллектуальные функции обнаружения и распознавания лиц, распознавания автомобильных номеров, интерактивного поиска в видеоархиве, «перехвата» объектов по приметам, а так же оборудован встроенным детектором движения.",75106,img/118022.jpg
118023,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 16 L,"Cетевой видеорегистратор MACROSCOP NVR-16 является полностью готовым аппаратным решением для систем IP-видеонаблюдения любого размера и максимально упрощает процесс настройки системы, а простота использования и функциональность предустановленного программного обеспечения  делает данную модель максимально удобной в использовании на объекте. Видеорегистратор осуществляет обработку, запись видео и аудио с 16 IP-камер при 2 Мегапикселях и 25 кадр/сек в H.264 с использованием детекторов движения камер. Модель работает под управлением ОС Linux. Количество рабочих мест мониторинга (УРМ) не ограничено.  Видеорегистратор поддерживает интеллектуальные функции обнаружения и распознавания лиц, распознавания автомобильных номеров, интерактивного поиска в видеоархиве, «перехвата» объектов по приметам, а так же оборудован встроенным детектором движения.",94257,img/118023.jpg
118024,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 16 M,"Cетевой видеорегистратор MACROSCOP NVR-16 Monitor в первую очередь имеет возможность подключения монитора, что позволяет отобразить видео от всех камер и осуществить легкое управления системой. Регистратор является полностью готовым аппаратным решением для систем IP-видеонаблюдения любого размера и максимально упрощает процесс настройки системы, а простота использования и функциональность предустановленного программного обеспечения  делает данную модель максимально удобной в использовании на объекте. Видеорегистратор осуществляет обработку, запись видео и аудио с 16 IP-камер при 2 Мегапикселях и 25 кадр/сек в MJPEG с использованием детекторов движения камер или программного детектора MACROSCOP. Модель работает под управлением Windows 7. Количество рабочих мест мониторинга (УРМ) не ограничено.  Видеорегистратор поддерживает интеллектуальные функции обнаружения и распознавания лиц, распознавания автомобильных номеров, интерактивного поиска в видеоархиве, «перехвата» объектов по приметам, а так же оборудован встроенным детектором движения.",101227,img/118024.jpg
118025,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 25 L,"Cетевой видеорегистратор MACROSCOP NVR-25 является полностью готовым аппаратным решением для систем IP-видеонаблюдения любого размера и максимально упрощает процесс настройки системы, а простота использования и функциональность предустановленного программного обеспечения  делает данную модель максимально удобной в использовании на объекте. Видеорегистратор осуществляет обработку, запись видео и аудио с 25 IP-камер при 2 Мегапикселях и 25 кадр/сек в H.264 с использованием детекторов движения камер. Модель работает под управлением ОС Linux. Количество рабочих мест мониторинга (УРМ) не ограничено.  Видеорегистратор поддерживает интеллектуальные функции обнаружения и распознавания лиц, распознавания автомобильных номеров, интерактивного поиска в видеоархиве, «перехвата» объектов по приметам, а так же оборудован встроенным детектором движения.",120834,img/118025.jpg
118026,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 25 M,"Cетевой видеорегистратор MACROSCOP NVR-25 Monitor 1 в первую очередь имеет возможность подключения монитора, что позволяет отобразить видео от всех камер и осуществить легкое управления системой. Регистратор является полностью готовым аппаратным решением для систем IP-видеонаблюдения любого размера и максимально упрощает процесс настройки системы, а простота использования и функциональность предустановленного программного обеспечения  делает данную модель максимально удобной в использовании на объекте. Видеорегистратор осуществляет обработку, запись видео и аудио с 25 IP-камер при 2 Мегапикселях и 12 кадр/сек в MJPEG с использованием детекторов движения камер или программного детектора MACROSCOP. Модель работает под управлением ОС Windows 7. Количество рабочих мест мониторинга (УРМ) не ограничено.  Видеорегистратор поддерживает интеллектуальные функции обнаружения и распознавания лиц, распознавания автомобильных номеров, интерактивного поиска в видеоархиве, «перехвата» объектов по приметам, а так же оборудован встроенным детектором движения.",143503,img/118026.jpg
118027,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 25 M2,"Cетевой видеорегистратор MACROSCOP NVR-25 Monitor 2 в первую очередь имеет возможность подключения 2 мониторов, что позволяет отобразить видео от всех камер и осуществить легкое управления системой. Регистратор является полностью готовым аппаратным решением для систем IP-видеонаблюдения любого размера и максимально упрощает процесс настройки системы, а простота использования и функциональность предустановленного программного обеспечения  делает данную модель максимально удобной в использовании на объекте. Видеорегистратор осуществляет обработку, запись видео и аудио с 25 IP-камер при 2 Мегапикселях и 12 кадр/сек в MJPEG с использованием детекторов движения камер или программного детектора MACROSCOP. Модель работает под управлением ОС Windows 7. Количество рабочих мест мониторинга (УРМ) не ограничено.  Видеорегистратор поддерживает интеллектуальные функции обнаружения и распознавания лиц, распознавания автомобильных номеров, интерактивного поиска в видеоархиве, «перехвата» объектов по приметам, а так же оборудован встроенным детектором движения.",156401,img/118027.jpg
118028,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 32 L,"Cетевой видеорегистратор MACROSCOP NVR-32 является полностью готовым аппаратным решением для систем IP-видеонаблюдения любого размера и максимально упрощает процесс настройки системы, а простота использования и функциональность предустановленного программного обеспечения  делает данную модель максимально удобной в использовании на объекте. Видеорегистратор осуществляет обработку, запись видео и аудио с 32 IP-камер при 2 Мегапикселях и 25 кадр/сек в H.264 с использованием детекторов движения камер. Модель работает под управлением ОС Linux. Количество рабочих мест мониторинга (УРМ) не ограничено.  Видеорегистратор поддерживает интеллектуальные функции обнаружения и распознавания лиц, распознавания автомобильных номеров, интерактивного поиска в видеоархиве, «перехвата» объектов по приметам, а так же оборудован встроенным детектором движения.",144610,img/118028.jpg
