_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
38065,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Beward,Beward B85-20," 2 Мп PTZ-камера Beward B85-20 с 20-кратным трансфокатором и встроенной высокочувствительной матрицей SONY Exmor предназначена для установки на улице и эксплуатации в экстремальных условиях. Антивандальный прозрачный купол надежно защищает функциональные детали IP-камеры и видеомодуль от   механических повреждений. Мощный процессор обеспечивает эффективную   обработку видеосигнала в формате Н.264. Функция «безопасный холодный старт» (опция) увеличивает износоустойчивость IP-камеры, что обеспечивает повышенную надежность профессиональным системам видеонаблюдения.",72000,img/38065.jpg
38066,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),Beward,Beward BS1112,"12-канальный IP-видеорегистратор Beward BS1112 – это оптимальное решение для записи с IP-камер BEWARD в формате H.264 с разрешением до 2 Мп либо с любых IP-камер, поддерживающих протокол ONVIF. Запись информации   производится на жесткий диск, подключенный через SATA-интерфейс, а   просмотр – удаленно, по сети, через веб-интерфейс на подключенном VGA-   или HDMI-мониторе. BS1112 обладает   высокой производительностью, функционируя при этом в режиме «pentaplex».   Это позволяет одновременно вести наблюдение, запись, просмотр архива,   резервное копирование и работу в сети. Предустановленная ОС Linux обеспечивает надежность работы системы видеонаблюдения в целом.   Регистратор отлично вписывается в любой интерьер благодаря компактным   размерам и эстетичному виду.",8500,img/38066.jpg
38067,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),Beward,Beward BS1232,"32-канальный IP-видеорегистратор Beward BS1232 – это оптимальное решение для записи с IP-камер BEWARD в формате H.264 с разрешением до 6 Мп либо с любых IP-камер, поддерживающих протокол ONVIF. Запись информации   производится на жесткие диски, подключенные через SATA-интерфейс, а   просмотр – удаленно, по сети, через веб-интерфейс на подключенном VGA-   или HDMI-мониторе. Регистратор обладает   высокой производительностью, функционируя при этом в режиме «pentaplex».   Это позволяет одновременно вести наблюдение, запись, просмотр архива,   резервное копирование и работу в сети. Предустановленная ОС Linux обеспечивает надежность работы системы видеонаблюдения в целом.   Регистратор отлично вписывается в любой интерьер благодаря компактным   размерам и эстетичному виду. При помощи стандартного монтажного   комплекта, который поставляется вместе с регистратором, IP-видеорегистратор можно установить в 19’’ стойку.",18900,img/38067.jpg
38068,Сетевое оборудование|Коммутаторы до 1000Mbps|Beward FGSW-2620CS,Beward,Beward FGSW-2620CS,"Beward FGSW-2620CS – 24-портовый Fast Ethernet коммутатор с 2-мя гигабитными   Ethernet портами для восходящих подключений. Это недорогое и надежное   решения для подключения до 24 IP камер или других сетевых устройств к   локальной сети, серверам или ЦОД (центру обработки данных).",12700,img/38068.jpg
38069,Сетевое оборудование|Коммутаторы POE|Beward ST-5HP4,Beward,Beward ST-5HP4,"5-портовый PoE-коммутатор Beward ST-5HP4 является оптимальным   решением для питания через сетевой кабель IP-камер, беспроводных точек   доступа, медиаконвертеров, SIP IP домофонов, IP-телефонов и других   PoE-устройств. 4 порта коммутатора с инжекторами 802.3at/af PoE   позволяют подключить до 2 устройств стандарта IEEE802.3at (до 30 Вт   каждое) или до 4 устройств IEEE802.3af (до 15 Вт каждое). Недорогой,   высокопроизводительный коммутатор ST-5HP4 с не блокируемой архитектурой   выполнен в металлическом корпусе компактных размеров, имеет настольное   исполнение. Коммутатор подходит для организации небольших систем видеонаблюдения с устройствами PoE и беспроводным оборудованием в офисах, коттеджах.",6700,img/38069.jpg
38070,Сетевое оборудование|Коммутаторы POE|Beward ST-8HP,Beward,Beward ST-8HP," Неуправляемый 8-портовый коммутатор Beward ST-8HP с бюджетом   по питанию PoE устройств до 140 Вт является идеальным решением для   питания через сетевой кабель скоростных сетевых PTZ-камер,   мультидиапазонных беспроводных точек доступа и других PoE устройств,   соответствующих спецификации IEEE802.3at с потребляемой мощностью до 30   Вт.",12300,img/38070.jpg
38071,Сетевое оборудование|Коммутаторы POE|Beward ST-810HP,Beward,Beward ST-810HP," Неуправляемый коммутатор Beward ST-810HP с 8 PoE-портами 10/100/1000 Мбит/с и 1   медным гигабитным Ethernet-портом позволяет пользователям легко   подключать и подавать питание на различные PoE-совместимые устройства,   такие как беспроводные точки доступа, IP-камеры и IP-видеодомофоны.   Коммутатор можно использовать для подключения других Ethernet-устройств,   включая компьютеры, принтеры, сетевые дисковые накопители и   IP-телефоны. С помощью гигабитного канала все устройства, подключенные к   коммутатору, можно соединить с серверами через высокоскоростной   интерфейс. Эта возможность прекрасно подходит для решения задач   видеонаблюдения. К гигабитному порту можно подключить 8-канальный   IP-видеорегистратор, получив законченное решение, или высокоскоростной   канал для передачи потокового видео.",15600,img/38071.jpg
38072,Сетевое оборудование|Коммутаторы POE|Beward STP-811HP,Beward,Beward STP-811HP,"Неуправляемый коммутатор промышленного класса Beward STP-811HP обеспечивает подключение на скоростях Gigabit Ethernet в сетях с экстремальными условиями окружающей среды. Все 8 портов поддерживают питание сетевых устройств по технологии High PoE в соответствии со спецификацией стандарта IEEE80.3af/at. К коммутатору можно подключить PoE-совместимые устройства, такие как IP камеры, Wi-Fi точки доступа, IP-телефоны или тонкие клиенты. Интеллектуальная функция обнаружения PoE-совместимых устройств позволяет без опасения подключать к коммутатору любые сетевые устройства без поддержки PoE, в том числе, компьютеры, принтеры и сетевые дисковые накопители. Коммутатор подает питание по кабелю только в случае обнаружения PoE-совместимого оборудования. Гигабитный канал позволяет соединить с серверами все устройства, подключенные к коммутатору, через высокоскоростной интерфейс. Эта возможность особенно востребована для решения задач видеонаблюдения. К гигабитному порту можно подключить 8-канальный IP видеорегистратор, получив законченное решение, или высокоскоростной канал для передачи потокового видео.",18700,img/38072.jpg
38073,Сетевое оборудование|Коммутаторы POE|Beward STW-1622HP,Beward,Beward STW-1622HP,"Web smart PoE-коммутатор Beward STW-1622HP разработан специально для создания легкомасштабируемых и простых в обслуживании систем видеонаблюдения. Набор интеллектуальных функций управления питанием устройств с PoE позволяет в реальном времени управлять ими и осуществлять мониторинг состояния сети и питания . Коммутатор предназначен для подключения IP-камер и другого оборудования со встроенным или внешним PoE-сплиттером стандартов IEEE 802.3af/at в составе систем IP-видеонаблюдения, IP-телефонии, беспроводных или комбинированных решений. Два комбинированных TP/SFP гигабитных интерфейса позволяют организовать высокоскоростные каналы передачи потоковых данных для решения задач видеонаблюдения.",29900,img/38073.jpg
38074,Сетевое оборудование|Коммутаторы POE|Beward STW-02404HP,Beward,Beward STW-02404HP,"Beward STW-02404HP - управляемый гигабитный PoE-коммутатор BEWARD, предназначенный для подключения IP-камер и другого оборудования со встроенным или внешним PoE-сплиттером стандартов IEEE802.3af/at. Коммутатор поддерживает набор интеллектуальных функций управления питанием устройств с PoE. Бюджет мощности составляет 220 Вт, что достаточно для подключения большинства внутренних IP-камер стандарта IEEE 802.3af и нескольких уличных камер стандарта IEEE 802.3at с потреблением до 30.5 Вт. Для организации восходящих каналов связи коммутатор имеет 4 комбинированных гигабитных порта с возможностью установки SFP-модулей. Благодаря невысокой стоимости эта модель является идеальным решением для задач видеонаблюдения и построения локальной сети. Если необходим больший запас по мощности и требуется подключить больше устройств стандарта IEEE 802.3at, то рекомендуется выбрать следующую модель из линейки PoE оборудования BEWARD - STW-02404HPF. ",41700,img/38074.jpg
