_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
123484,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 4 L mini,"Современный сетевой видеорегистратор MACROSCOP NVR 4 L рассчитанный на 4 IP-камеры, представляет собой целиком готовое к эксплуатации аппаратное решение, предназначенный для обеспечения работоспособности самых разных систем IP-видеонаблюдения. Основой видеорегистратора являются комплектующие персонального компьютера. Данная модель очень удобна в работе и обладает массой положительных качеств - она проста в эксплуатации и обладает расширенным функционалом за счет предустановленного ПО MACROSCOP. С его помощью можно существенно упростить процедуру настройки системы и обеспечить постоянный мониторинг периметра объекта. Сетевой видеорегистратор с программным обеспечением марки MACROSCOP NVR функционируют на базе ОС Ubuntu.",49767,img/123484.jpg
123485,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 4 M mini,"Современный сетевой видеорегистратор MACROSCOP NVR 4 M расчитаный на 4 IP-камеры, представляет собой целиком готовое к эксплуатации аппаратное решение, предназначенный для обеспечения работоспособности самых разных систем IP-видеонаблюдения. Основой видеорегистратора являются комплектующие персонального компьютера. Данная модель очень удобна в работе и обладает массой положительных качеств - она проста в эксплуатации и обладает расширенным функционалом за счет предустановленного ПО MACROSCOP. С его помощью можно существенно упростить процедуру настройки системы и обеспечить постоянный мониторинг периметра объекта. Сетевой видеорегистратор с программным обеспечением марки MACROSCOP NVR функционируют на базе Windows 7.",60580,img/123485.jpg
123486,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 9 L mini,"Современный сетевой видеорегистратор MACROSCOP NVR 9 L рассчитанный на 9 IP-камер, представляет собой целиком готовое к эксплуатации аппаратное решение, предназначенный для обеспечения работоспособности самых разных систем IP-видеонаблюдения. Основой видеорегистратора являются комплектующие персонального компьютера. Данная модель очень удобна в работе и обладает массой положительных качеств - она проста в эксплуатации и обладает расширенным функционалом за счет предустановленного ПО MACROSCOP. С его помощью можно существенно упростить процедуру настройки системы и обеспечить постоянный мониторинг периметра объекта. Сетевой видеорегистратор с программным обеспечением марки MACROSCOP NVR функционируют на базе ОС Ubuntu или Windows 7.",60385,img/123486.jpg
123487,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 9 M mini,"Современный сетевой видеорегистратор MACROSCOP NVR 9 M рассчитанный на 9 IP-камер, представляет собой целиком готовое к эксплуатации аппаратное решение, предназначенный для обеспечения работоспособности самых разных систем IP-видеонаблюдения. Основой видеорегистратора являются комплектующие персонального компьютера. Данная модель очень удобна в работе и обладает массой положительных качеств - она проста в эксплуатации и обладает расширенным функционалом за счет предустановленного ПО MACROSCOP. С его помощью можно существенно упростить процедуру настройки системы и обеспечить постоянный мониторинг периметра объекта. Сетевой видеорегистратор с программным обеспечением марки MACROSCOP NVR функционируют на базе Windows 7.",71263,img/123487.jpg
123488,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),MACROSCOP,MACROSCOP NVR 16 M2,"Cетевой видеорегистратор MACROSCOP NVR-16 Monitor-2 в первую очередь имеет возможность подключения монитора, что позволяет отобразить видео от всех камер и осуществить легкое управления системой. Регистратор является полностью готовым аппаратным решением для систем IP-видеонаблюдения любого размера и максимально упрощает процесс настройки системы, а простота использования и функциональность предустановленного программного обеспечения  делает данную модель максимально удобной в использовании на объекте. Модель работает под управлением Windows 7. Количество рабочих мест мониторинга (УРМ) не ограничено.",114125,img/123488.jpg
