_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
13001,Системы видеонаблюдения|Программное обеспечение для систем видеонаблюдения|ПО Smartec,Smartec,Smartec VCAfollowIP-01,Smartec VCAfollowIP-01 - расширенная лицензия VCA Follow для IP Speed Dome камер и IP-видеосерверов NEYRO. Автоматическое сопровождение движущихся объектов. Поставляется бесплатно с STC-IPX3905!!!,16502,img/13001.jpg
13002,Системы видеонаблюдения|Программное обеспечение для систем видеонаблюдения|ПО Smartec,Smartec,Smartec VCAtrackIP-01,"Smartec VCAtrackIP-01 - расширенная лицензия видеоаналитики VCA Track для Speed Dome камер STC-IPX3905. Автоматическое сопровождение движущихся объектов. Сопровождение объектов, по результатам аналитики VCA. Возможность ручного указания на объект для дальнейшего автоматического сопровождения.",23161,img/13002.jpg
13042,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),QNAP,QNAP VS-2004L,"Система видеонаблюдения QNAP VS2004L VioStor NVR с двумя отсеками для жестких дисков предназначена для использования дома, а также в малых и домашних офисах (SOHO). Построенная на базе ОС Linux, система обеспечивает быстрое конфигурирования без использования ПК, мониторинг IP-видеокамер и получение с них изображений, подключение USB-клавиатуры, мыши и монитора (через разъем VGA) для локального просмотра видео. Она поддерживает запись 4-каналов видео в форматах H.264, MPEG-4, M-JPEG и MxPEG. Система работает с IP-видеокамерами большинства известных марок, включая изделия AXIS, ACTi, A-MTK, Arecont Vision, AVTECH, Brickcom, Canon, Cisco, CNB, DIGITUS, D-Link, EDIMAX, ELMO, EtroVision, GANZ, Hikvision, iPUX, IPX, IQeye, LevelOne, Linksys, Messoa, MOBOTIX, NAKAYO, Panasonic BB/ BL/ i-Pro, SANYO, SHANY, SONY, TOA, TOSHIBA, TRENDnet, Videosec, VIOSECURE, VIVOTEK и Y-CAM.",42992,img/13042.jpg
13043,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),QNAP,QNAP VS-2008L,"Система видеонаблюдения QNAP VS-2008L VioStor NVR с двумя отсеками для жестких дисков предназначена для использования дома, а также в малых и домашних офисах (SOHO). Построенная на базе ОС Linux, система обеспечивает быстрое конфигурирования без использования ПК, мониторинг IP-видеокамер и получение с них изображений, подключение USB-клавиатуры, мыши и монитора (через разъем VGA) для локального просмотра видео. Она поддерживает запись 8-каналов видео в форматах H.264, MPEG-4, M-JPEG и MxPEG. Система работает с IP-видеокамерами большинства известных марок, включая изделия AXIS, ACTi, A-MTK, Arecont Vision, AVTECH, Brickcom, Canon, Cisco, CNB, DIGITUS, D-Link, EDIMAX, ELMO, EtroVision, GANZ, Hikvision, iPUX, IPX, IQeye, LevelOne, Linksys, Messoa, MOBOTIX, NAKAYO, Panasonic BB/ BL/ i-Pro, SANYO, SHANY, SONY, TOA, TOSHIBA, TRENDnet, Videosec, VIOSECURE, VIVOTEK и Y-CAM",62751,img/13043.jpg
13057,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,ACUMEN,Acumen Ai-Q43W,АНАЛОГ ВЗАМЕН: ACUMEN Ai-BU45S,0,img/13057.jpg
13058,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Smartec,Smartec STC-IPMX3593A/1,"2-мегапиксельная вандалозащищенная IP-камера купольного типа с аппаратным режимом «день/ночь» Smartec STC-IPMX3593A/1 использует 1/2.7"" КМОП-сенсор OmniVision. Разрешение изображе­ния Full HD (1920x1080) и точность цветопередачи позволя­ют применять её на объектах с повышенными требованиями к качеству видеосигнала. Вандалозащи-щенное исполнение камеры, степень пылевлагозащиты IP66 и наличие встроенного обогревателя обеспечивают возможность установки камеры как внутри помещений, так и на улице, в том числе в местах с риском вандализма. В камере реализован базовый пакет видеоанали­тики VCA Presence, который позволяет обнаруживать при­сутствие объектов в зоне видеоконтроля. Расширенные воз­можности видеоаналитики и системы видеонаблюдения в целом обеспечивают опциональные пакеты VCA, позволяю­щие выполнять классификацию объектов по размеру (чело­век, автомобиль и др.), определять направление движения, фиксировать остановку или задержку объекта в зоне дольше отведенного времени, вести подсчет количества объектов, определять скорость движения объектов, осуществлять де­текцию оставленных/пропавших предметов и др.",55296,img/13058.jpg
13059,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Smartec,Smartec STC-IPMX3693A/1,"2-мегапиксельная IP-камера с ИК-подсветкой Smartec STC-IPMX3693A/1 использует 1/2.7"" КМОП-сенсор OmniVision. Разрешение изображе­ния Full HD (1920x1080) и точность цветопередачи позволя­ют применять её на объектах с повышенными требованиями к качеству видеосигнала. Наличие встроенного обогревателя и ИК-подсветки обеспечивает широкую сферу применения камеры - как внутри, так и вне помещений. В камере реализован базовый пакет видеоанали­тики VCA Presence, который позволяет обнаруживать при­сутствие объектов в зоне видеоконтроля. Расширенные воз­можности видеоаналитики и системы видеонаблюдения в целом обеспечивают опциональные пакеты VCA, позволяю­щие выполнять классификацию объектов по размеру (чело­век, автомобиль и др.), определять направление движения, фиксировать остановку или задержку объекта в зоне дольше отведенного времени, вести подсчет количества объектов, определять скорость движения объектов, осуществлять де­текцию оставленных/пропавших предметов и др. Данная IP-камера также способна работать в различных клима­тических условиях при температурах от -40 до +50°С. Ее металлический кожух со степенью защиты IP66 оснащен вентилятором, включение которого контролируется специ­альным процессором. Камера имеет компактные размеры и поставляется вместе с кронштейном, обе­спечивающим полную скрытую проводку кабеля.",68324,img/13059.jpg
13060,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,BestDVR,BestDVR BestDVR-405Light-NET,АНАЛОГ ВЗАМЕН: ACTi D65,0,img/13060.jpg
13061,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,BestDVR,BestDVR-805LightNet,АНАЛОГ ВЗАМЕН: BestDVR-805Light-AH,0,img/13061.jpg
13062,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,BestDVR,BestDVR-1605Light,АНАЛОГ ВЗАМЕН: BestDVR-1605Light H,0,img/13062.jpg
13063,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,BestDVR,BestDVR-1605L,АНАЛОГ ВЗАМЕН: BestDVR-1605LS,0,img/13063.jpg
13064,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,BestDVR,BestDVR-1603-AS,"DVR на 16 каналов видео, отображение 25к/сек на канал, скорость записи и трансляции по сети: 400к/с/16кан(360x288),  200к/c/16кан(720x288), 100к/с/16кан(704х576), сжатие H-264, VGA и BNC видеовыходы, 2- независимых BNC-выхода, режим мультивоспроизведения, 4 аудио канала, 16/4 тревожных входа/выхода, детектор движения, полностью русифицирован, трансляция, просмотр архива и архивирование по TCP/IP, триплекс, RS-485 для управления Speed Dome, USB-порт для архивации, ИК-пульт, «Мышь», установка до 4 SATA HDD до 2000Gb каждый, возможность установить CD-RW, DVD-RW, Mobile Rack, чтение диска на ПК (комплектация без HDD) размеры 44х40х7,5см, 7 кг. Установочный комплект для 19» стойки.",0,img/13064.jpg
13065,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,BestDVR,BestDVR 405 Comfort-L,АНАЛОГ ВЗАМЕН: BestDVR-405-Mobile SD,0,img/13065.jpg
13066,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,BestDVR,BestDVR-405-Mobile SD," видеорегистратор, Видеовход- 4, BNC разъем,Видео выход- 1 BNC на дисплей PAL (25к/с), NTSC (30к/с),Русское меню, Аудио выход- 1,  Аудио вход -4,  кодек H.264  D1(704х576) при 100 к/с, запись на SD-карту, порт USB2.0 (для флэш  или жесткого диска). Вых сигнал AVI, 1 датчик скорости, 3 датчика пользователя,GPS опционально , Два RS232 порта и один RS485, работа по сети TCP/IP RJ45, 10M/100M,CMS, питание от 8~32 B, 5 ВТ(0,1ВТ в реж.ожидания). Питание камер +12В при 1.5A+5В при 1A, раб. температура -30С~+60C, 92мм",21046,img/13066.jpg
13067,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,BestDVR,BestDVR-405-Mobile HDD,"Мобильный видеорегистратор, Видеовход- 4, BNC разъем,Видео выход- 1 BNC на дисплей PAL (25к/с), NTSC (30к/с),Русское меню, Аудио выход- 1,  Аудио вход -4,  кодек H.264  D1(704х576) при 100 к/с, запись на SD-карту, порт USB2.0 (для флэш  или жесткого диска). Вых сигнал AVI, 1 датчик скорости, 3 датчика пользователя,GPS опционально , Два RS232 порта и один RS485, работа по сети TCP/IP RJ45, 10M/100M,CMS, питание от 8~32 B, 5 ВТ(0,1ВТ в реж.ожиданиея). Питание камер +12В при 1.5A+5В при 1A, раб. температура -30С~+60C, 92мм",0,img/13067.jpg
13068,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,BestDVR,BestDVR-405-Mobile HDD-G,"Мобильный видеорегистратор, Видео вход- 4, BNC разъем,Видео выход- 1 BNC на дисплей PAL (25к/с), NTSC (30к/с),Русское меню, Аудио выход-1,  Аудио вход -4,  кодек H.264  D1(704x576) при 100 к/с, запись на HDD или SD, порт USB2.0 (для флэш или жесткого диска). Вых сигнал AVI, 1 датчик скорости, 3 датчика пользователя, GPS приемник в комплекте, Два порта RS232 и один RS485,  работа по сети TCP/IP RJ45, 10M/100M,CMS, питание от 8~32 B, 5 ВТ(0,1ВТ в реж.ожиданиея). Питание камер +12В при 1.5A+5В при 1A, раб. температура -10С~+60C, 180мм.",0,img/13068.jpg
13069,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,Cyfron,Cyfron DV01-mobic,АНАЛОГ ВЗАМЕН,0,img/13069.jpg
13070,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,Cyfron,Cyfron DV02-mobic,АНАЛОГ ВЗАМЕН,0,img/13070.jpg
13071,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,Cyfron,Cyfron DV03-mobic,АНАЛОГ ВЗАМЕН,0,img/13071.jpg
13072,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,Cyfron,Cyfron DV04-mobic,АНАЛОГ ВЗАМЕН,0,img/13072.jpg
13073,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,Cyfron,Cyfron DV06-mobic,АНАЛОГ ВЗАМЕН,0,img/13073.jpg
13074,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,CNB,CNB-LJL-21S,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/13074.jpg
