_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
7012,"Системы контроля доступа|Турникеты, калитки, ограждения|Дополнительное оборудование к турникетам и калиткам",PERCo,PERCo-RB-03S,"Роторные турникеты PERCo-RTD-03S предназначены для организации доступа на объекты с повышенным требованием к комфортности прохода. Встроенный электропривод обеспечивает плавный ход, безынерционное вращение и бесшумную работу турникета.",36324,img/7012.jpg
7013,"Системы контроля доступа|Турникеты, калитки, ограждения|Дополнительное оборудование к турникетам и калиткам",PERCo,PERCo-RB-03TP,"Роторные турникеты PERCo-RTD-03S предназначены для организации доступа на объекты с повышенным требованием к комфортности прохода. Встроенный электропривод обеспечивает плавный ход, безынерционное вращение и бесшумную работу турникета.",87235,img/7013.jpg
7017,"Системы контроля доступа|Турникеты, калитки, ограждения|Дополнительное оборудование к турникетам и калиткам",PERCo,PERCo-RTC-15R,Турникеты серии PERCo-RTD-15 предназначены для полного перекрытия зоны прохода. Возможна эксплуатация турникета как внутри помещений так и на открытом воздухе (температурный диапазон от минус 40 до плюс 40°С).,95529,img/7017.jpg
7018,"Системы контроля доступа|Турникеты, калитки, ограждения|Дополнительное оборудование к турникетам и калиткам",PERCo,PERCo-RF01 0-01,PERCo-RF01 0-01 - рама монтажная для турникета роторного полноростового PERCo-RTD-15.,27887,img/7018.jpg
7101,Системы видеонаблюдения|Микрофоны|МВК МВК-М022,МВК,МВК МВК-М022,"МВК МВК-М022 - 2-х проводный миниатюрный активный микрофон,предназначен для совместной эксплуатации как с аналоговыми, так и с цифровыми устройствами (рекордеры, регистраторы) с целью аудиоконтроля окружающего пространства.",234,img/7101.jpg
7102,Системы видеонаблюдения|Микрофоны|МВК МВК-М03,МВК,МВК МВК-М03,"МВК МВК-М03 - миниатюрный активный микрофон, 3-х проводный с АРУ.",814,img/7102.jpg
7103,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,Samsung,Samsung SRD-830,"Samsung SRD-830 - 8-канальный цифровой видеорегистратор, осуществляющий запись с разрешением 704x480, частотой 30 кадров в секунду в формате H264.
Samsung SRD-830  работает под управлением операционной системы на базе Linux, обладает встроенными функциями PTZ (Pan, Tilt и Zoom) управления, 4-ех канальной записи звука. Samsung SRD-830 позволяет выполнить установку пароля, обладает памятью для хранения сообщений разного событий, обладает возможностью одновременной записи, воспроизведения и передачи аудио и видео файлов с помощью программы просмотра в среде Windows (Smart Viewer)
Samsung SRD-830 имеет интерфейс USB 2.0 для подключения внешнего жёсткого диска, осуществляет передачу видео/аудио сигналов через сеть в реальном времени, позволяет контролировать изображение и звук дистанционно с помощью персонального компьютера
Технические характеристики Samsung SRD-830Операционная система: Linux
Скорость записи: до 100 fps
Разрешение 704x480 (NTSC)
Видео вход: композитный, 4 канала
Формат сжатия видео: H264
Аудио вход: моно, 4 канала, RCA
Аудио выход: моно, 1 канал, RCA
Метод сжатия аудио: ADPCM
DVD-привод: встроенный
Управление телеметрией: RS-485
Сеть: Ethernet: 10/100 Base T
Языки интерфейса: 16 языков (есть русский)
Питание: 100 - 240V AC
Диапазон рабочих температур: 0°C ~ 40°C
Критическая влажность:  85%
Габариты: 440 x 88 x 430 мм 
Масса: 7.3 кгДокументация Samsung SRD-830Параметры Samsung SRD-830Количество аудио каналовЗапись всех каналов при макс. разрешении, кад/секМакс. разрешение на каналТревожные входыТревожные выходыОблачный сервисПоддержка 3GПоддержка 960HВыход BNCВыход HDMIВыход DVIВыход VGAВыход RS-232Выход RS-485EthernetПульт ИКУправление USB-мышьюМобильные приложенияМакс. кол-во HDD
 

                ",0,img/7103.jpg
7104,Системы видеонаблюдения|IP-видеонаблюдение|Объективы мегапиксельные,Computar,Computar M3514-MP,"Computar M3514-MP 1-мегапиксельный объектив с фиксированным фокусным расстоянием используются в видеокамерах с электронной диафрагмой для видеонаблюдения внутри помещений с относительно постоянной освещённостью. Использование объектива с фиксированным фокусным расстоянием обеспечивает качественное изображение от мегапиксельной видеокамеры системы видеонаблюдения, находящейся в помещении со стабильными световыми условиями.Основными техническими особенностями и функциональными возможностями являются:стеклянные линзы с многослойным просветляющим покрытием,технология изготовления материала корпуса компенсируется температурными деформациями.",15859,img/7104.jpg
7105,Системы видеонаблюдения|IP-видеонаблюдение|Объективы мегапиксельные,Computar,Computar M7528-MP,"Computar M7528-MP 1-мегапиксельный объектив с фиксированным фокусным расстоянием используются в видеокамерах с электронной диафрагмой для видеонаблюдения внутри помещений с относительно постоянной освещённостью. Использование объектива с фиксированным фокусным расстоянием обеспечивает качественное изображение от мегапиксельной видеокамеры системы видеонаблюдения, находящейся в помещении со стабильными световыми условиями.Основными техническими особенностями и функциональными возможностями являются:стеклянные линзы с многослойным просветляющим покрытием,технология изготовления материала корпуса компенсируется температурными деформациями.",20254,img/7105.jpg
7106,Системы видеонаблюдения|IP-видеонаблюдение|Объективы мегапиксельные,Computar,Computar M1620-MPV,АНАЛОГ ВЗАМЕН: Computar M2518-MPW,0,img/7106.jpg
